school,journal,year,author,paper_key,affiliation
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3671,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3926,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2021.4183,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Florida (Warrington),MS,2021,Yining Wang,doi:10.1287/mnsc.2020.3819,"Department of Information Systems and Operations Management, Warrington College of Business, University of Florida, Gainesville, Florida 32611;"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3819,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2021,Thomas L. Magnanti,doi:10.1287/mnsc.2021.3955,"Department of Electrical Engineering and Computer Science and Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
UW (Foster),MS,2021,Andrew F. Siegel,doi:10.1287/mnsc.2020.3766,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195; ; Finance and Business Economics, Department of Statistics, University of Washington, Seattle, Washington 98195"
UW (Foster),MS,2021,Michael R. Wagner,doi:10.1287/mnsc.2020.3766,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3773,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
UIUC (Gies),MS,2021,Yuqian Xu,doi:10.1287/mnsc.2020.3879,"Department of Technology, Operations, and Statistics, Department of Business Administration, Gies College of Business, University of Illinois at Urbana-Champaign, Illinois 61820"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4212,"Institute for Data, Systems, and Society and Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4171,"Institute for Data, Systems and Society, Operations Research Center, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4284,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4024,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4216,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Boston U (Questrom),MS,2022,Nachiketa Sahoo,doi:10.1287/mnsc.2020.3930,"Department of Information Systems, Questrom School of Business, Boston University, Boston, Massachusetts 02215"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4071,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
UW (Foster),MS,2022,Masha Shunko,doi:10.1287/mnsc.2021.4063,"Information Systems & Operations Management, Foster School of Business, University of Washington, Seattle, Washington 98195;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4134,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,Shuangyu Wang,doi:10.1287/mnsc.2021.4134,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4222,"Institute for Data, Systems, and Society, Department of Civil & Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2022.4322,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4129,"MIT Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.bestaeaward.v69.n12,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.4947,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2022.4583,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Michigan (Ross),MS,2023,Murat Köksalan,doi:10.1287/mnsc.2023.4712,"Industrial Engineering, Middle East Technical University, Ankara 06800, Turkey; ; Ross School of Business, University of Michigan, Ann Arbor, Michigan 48109;"
