person_name,school,paper_count_full,paper_count_frac_authors,citation_sum_openalex,citation_frac_authors_openalex,first_year,last_year,unique_om_or_papers,unknown_school_hits
David Simchi-Levi,MIT,40,19.7667,791.0,276.2500,2017,2025,40,0
Yiangos Papanastasiou,UC Berkeley (Haas),8,4.3333,805.0,417.0000,2017,2024,8,0
Ming Hu,Toronto (Rotman),11,4.2500,728.0,257.2500,2016,2025,11,0
Serguei Netessine,Wharton (UPenn),9,3.3333,651.0,270.6667,2019,2024,9,0
Elodie Adida,Unknown,5,3.3333,299.0,141.6667,2017,2024,5,5
Hamsa Bastani,Wharton (UPenn),7,3.1667,190.0,73.3333,2019,2026,7,0
Kostas Bimpikis,Stanford,9,3.0000,783.0,260.9167,2016,2024,9,0
Soo-Haeng Cho,Carnegie Mellon (Tepper),8,3.0000,708.0,259.5000,2017,2024,8,0
Achal Bassamboo,Northwestern (Kellogg),8,3.0000,399.0,144.1667,2016,2021,8,0
Jun Li,Michigan (Ross),8,2.9167,790.0,278.3333,2018,2025,8,0
Juan Camilo Serpa,McGill (Desautels),7,2.7500,369.0,156.4167,2017,2025,7,0
Georgia Perakis,MIT,9,2.7000,715.0,229.7333,2016,2025,9,0
Nikolaos Trichakis,MIT,9,2.7000,874.0,202.2000,2018,2024,9,0
Victor Martínez-de-Albéniz,Unknown,6,2.6667,62.0,30.8333,2016,2025,6,6
Retsef Levi,MIT,9,2.6012,347.0,107.4762,2017,2025,9,0
Vishal Gupta,USC (Marshall),5,2.5833,112.0,78.7500,2019,2022,5,0
Adam N. Elmachtoub,Columbia,7,2.5833,210.0,71.7500,2021,2026,7,0
Andrew M. Davis,Cornell,7,2.5417,219.0,84.6250,2018,2025,7,0
Danny Segev,Unknown,6,2.5333,225.0,70.9000,2019,2025,6,6
Peng Shi,USC (Marshall),3,2.5000,77.0,45.0000,2020,2025,3,0
Özalp Özer,UT Dallas,6,2.3333,277.0,105.3333,2016,2022,6,0
Nathan Kallus,Cornell,5,2.3333,153.0,71.5000,2020,2023,5,0
Ilan Lobel,NYU (Stern),5,2.2500,425.0,146.4167,2016,2025,5,0
Will Ma,Columbia,5,2.2500,83.0,36.0833,2021,2025,5,0
Zeyu Zheng,UC Berkeley (Haas),6,2.2000,21.0,10.1667,2023,2025,6,0
Nicos Savva,Unknown,6,2.1667,760.0,306.1667,2017,2023,6,6
Ali Aouad,Unknown,5,2.1667,202.0,81.6667,2021,2025,5,5
Rajan Udwani,UC Berkeley (Haas),3,2.1667,65.0,15.8333,2022,2025,3,0
Elena Katok,UT Dallas,7,2.1583,138.0,40.1083,2018,2024,7,0
Bradley R. Staats,UNC (Kenan-Flagler),6,2.0833,541.0,150.5000,2017,2022,6,0
Di (Andrew) Wu,Michigan (Ross),4,2.0833,249.0,126.5000,2021,2024,4,0
Vivek F. Farias,MIT,6,2.0417,277.0,100.0000,2017,2025,6,0
Paat Rusmevichientong,USC (Marshall),6,2.0333,372.0,133.9667,2017,2025,6,0
N. Bora Keskin,Duke (Fuqua),5,2.0000,263.0,106.6667,2020,2025,5,0
Rouba Ibrahim,Unknown,5,2.0000,163.0,59.0000,2017,2024,5,5
Ozan Candogan,Chicago (Booth),5,2.0000,122.0,42.5000,2018,2025,5,0
Tinglong Dai,Johns Hopkins (Carey),5,2.0000,92.0,33.5000,2020,2024,5,0
Panos Kouvelis,WashU (Olin),5,1.9167,603.0,283.8333,2016,2024,5,0
Melvyn Sim,Unknown,6,1.9167,752.0,247.0833,2018,2023,6,6
Dimitris Bertsimas,MIT,5,1.9167,523.0,174.4167,2016,2024,5,0
Hyoduk Shin,UC San Diego (Rady),5,1.9167,403.0,166.5000,2016,2021,5,0
Daniela Saban,Stanford,5,1.9167,152.0,70.7500,2021,2025,5,0
Kyle Hyndman,UT Dallas,5,1.8750,165.0,66.6250,2018,2025,5,0
Jiri Chod,Boston College (Carroll),4,1.8667,943.0,402.2000,2017,2021,4,0
Stefan Scholtes,Unknown,6,1.8667,330.0,108.2667,2017,2024,6,6
Hessam Bavafa,Wisconsin-Madison,5,1.8667,290.0,100.9000,2018,2025,5,0
Izak Duenyas,Michigan (Ross),6,1.8667,204.0,68.0000,2016,2025,6,0
Christopher S. Tang,UCLA (Anderson),5,1.8333,688.0,288.9167,2017,2025,5,0
Maxime C. Cohen,McGill (Desautels),6,1.8333,343.0,113.6667,2020,2023,6,0
Harish Krishnan,UBC (Sauder),4,1.8333,220.0,110.0000,2017,2025,4,0
Gérard P. Cachon,Wharton (UPenn),3,1.8333,168.0,90.1667,2019,2022,3,0
Omar Besbes,Columbia,5,1.8333,259.0,90.0000,2018,2023,5,0
Ryan W. Buell,Harvard,3,1.8333,68.0,55.5000,2017,2021,3,0
James Siderius,MIT,4,1.8333,72.0,32.5000,2022,2023,4,0
Mohamed Mostagir,Michigan (Ross),4,1.8333,72.0,32.5000,2022,2023,4,0
Hao Zhang,UBC (Sauder),3,1.8333,61.0,25.1667,2018,2023,3,0
Jonathan Yu-Meng Li,Unknown,3,1.8333,8.0,3.5000,2018,2025,3,3
Stephen Leider,Michigan (Ross),6,1.8250,234.0,82.8750,2016,2025,6,0
Vishal Gaur,Cornell,5,1.7500,338.0,111.8333,2016,2025,5,0
Jing Dong,Columbia,5,1.7500,156.0,54.4167,2018,2026,5,0
J. George Shanthikumar,Purdue (Daniels),6,1.7333,149.0,44.0667,2019,2025,6,0
Gerry Tsoukalas,Wharton (UPenn),5,1.7000,1032.0,282.0333,2017,2021,5,0
Anita L. Tucker,Unknown,3,1.7000,440.0,216.4000,2016,2017,3,3
Agostino Capponi,Columbia,5,1.7000,85.0,27.5667,2021,2025,5,0
Fei Gao,Indiana (Kelley),4,1.6667,467.0,207.6667,2018,2024,4,0
Srikanth Jagabathula,NYU (Stern),4,1.6667,280.0,130.0000,2017,2023,4,0
Meng Li,Unknown,4,1.6667,369.0,126.1667,2017,2025,4,4
Aditya Jain,Unknown,3,1.6667,135.0,99.0000,2021,2025,3,3
Jing-Sheng Song,Duke (Fuqua),4,1.6667,239.0,96.8333,2020,2025,4,0
Santiago R. Balseiro,Columbia,4,1.6667,219.0,96.3333,2018,2023,4,0
Jordan Tong,Wisconsin-Madison,4,1.6667,229.0,93.8333,2017,2022,4,0
Xiuli Chao,Michigan (Ross),5,1.6667,273.0,89.6667,2018,2023,5,0
Boxiao Chen,UIUC (Gies),5,1.6667,187.0,67.0833,2020,2024,5,0
Vahideh Manshadi,Yale,5,1.6667,46.0,14.5833,2022,2025,5,0
Ali Fattahi,Johns Hopkins (Carey),3,1.6667,21.0,7.0000,2022,2025,3,0
Kamalini Ramdas,Unknown,6,1.6167,158.0,41.2167,2016,2024,6,6
Yash Kanoria,Columbia,4,1.5833,119.0,52.8333,2020,2025,4,0
Milind Dawande,UT Dallas,6,1.5833,116.0,29.5833,2016,2025,6,0
Henry Lam,Columbia,3,1.5833,24.0,7.5000,2021,2025,3,0
Timothy C. Y. Chan,Toronto (Rotman),5,1.5595,130.0,44.5833,2016,2025,5,0
Michael Freeman,Unknown,5,1.5333,302.0,98.9333,2017,2024,5,5
Carri W. Chan,Columbia,5,1.5333,258.0,78.9333,2017,2025,5,0
Greys Sošić,USC (Marshall),3,1.5333,249.0,67.1333,2019,2023,3,0
Qi Feng,Purdue (Daniels),5,1.5333,145.0,43.2667,2019,2025,5,0
Negin Golrezaei,MIT,4,1.5333,25.0,7.5000,2022,2025,4,0
S. Alex Yang,Unknown,4,1.5000,631.0,295.0000,2018,2023,4,4
Santiago Gallino,Dartmouth (Tuck),4,1.5000,599.0,211.8333,2017,2019,4,0
Man Yu,Unknown,4,1.5000,376.0,125.5000,2016,2025,4,4
L. Beril Toktay,Georgia Tech (Scheller),5,1.5000,325.0,97.7500,2016,2024,5,0
Laurens Debo,Dartmouth (Tuck),4,1.5000,186.0,65.5000,2017,2023,4,0
Arnoud V. den Boer,Unknown,3,1.5000,122.0,61.0000,2020,2022,3,3
Francis de Véricourt,Unknown,4,1.5000,154.0,54.3333,2019,2024,4,4
Manel Baucells,Virginia (Darden),3,1.5000,92.0,46.0000,2017,2020,3,0
Jónas Oddur Jónasson,MIT,4,1.5000,118.0,38.2500,2021,2024,4,0
Ambar La Forgia,UC Berkeley (Haas),2,1.5000,34.0,31.0000,2023,2025,2,0
Guillaume Roels,Unknown,2,1.5000,22.0,19.0000,2020,2024,2,2
Steven M. Shechter,UBC (Sauder),2,1.5000,3.0,3.0000,2025,2025,2,0
Ken Moon,Wharton (UPenn),6,1.4333,229.0,58.1833,2018,2024,6,0
Zhenyu Hu,Unknown,4,1.4167,207.0,73.8333,2017,2021,4,4
Selvaprabu Nadarajah,UIUC (Gies),4,1.4167,27.0,8.8333,2020,2025,4,0
Soroush Saghafian,Harvard,3,1.4000,81.0,29.8000,2018,2023,3,0
Chung Piaw Teo,Unknown,5,1.3667,88.0,27.9667,2018,2025,5,5
Rad Niazadeh,Chicago (Booth),4,1.3667,21.0,6.1667,2023,2025,4,0
Ruomeng Cui,Emory (Goizueta),4,1.3333,668.0,222.6667,2019,2020,4,0
Xuanming Su,Wharton (UPenn),3,1.3333,265.0,131.8333,2017,2025,3,0
Robert J. Batt,Wisconsin-Madison,3,1.3333,252.0,125.6667,2017,2025,3,0
Noam Shamir,Unknown,3,1.3333,272.0,121.8333,2016,2023,3,3
Jin Qi,Unknown,2,1.3333,140.0,118.6667,2017,2024,2,2
Tom Fangyun Tan,SMU (Cox),3,1.3333,248.0,118.6667,2019,2024,3,0
Suvrat Dhanorkar,Penn State (Smeal),2,1.3333,123.0,109.6667,2019,2022,2,0
Nur Sunar,UNC (Kenan-Flagler),3,1.3333,197.0,93.1667,2019,2021,3,0
Leela Nageswaran,UW (Foster),4,1.3333,239.0,79.6667,2020,2025,4,0
Enno Siemsen,Wisconsin-Madison,3,1.3333,171.0,76.1667,2017,2023,3,0
Hamid Nazerzadeh,USC (Marshall),3,1.3333,135.0,59.5000,2016,2022,3,0
David B. Brown,Duke (Fuqua),3,1.3333,132.0,56.5000,2020,2024,3,0
Daniel Feiler,Dartmouth (Tuck),3,1.3333,112.0,54.8333,2017,2023,3,0
William Schmidt,Cornell,3,1.3333,145.0,54.1667,2017,2022,3,0
Robert L. Bray,Northwestern (Kellogg),2,1.3333,114.0,45.3333,2019,2019,2,0
Pascale Crama,Unknown,3,1.3333,107.0,42.1667,2016,2021,3,3
Lin Zhao,Unknown,3,1.3333,91.0,38.6667,2019,2020,3,3
Antoine Désir,Unknown,4,1.3333,118.0,31.5000,2020,2024,4,4
Guihua Wang,UT Dallas,2,1.3333,39.0,25.6667,2022,2022,2,0
