person_name,rankings_school,university_key,paper_count_full,paper_count_frac_authors,citation_sum_openalex,citation_frac_authors_openalex,first_year,last_year,unique_om_or_papers
David Simchi-Levi,MIT,Massachusetts Institute of Technology,40,19.7667,791.0,276.2500,2017,2025,40
Yiangos Papanastasiou,UC Berkeley (Haas),"University of California, Berkeley",8,4.3333,805.0,417.0000,2017,2024,8
Ming Hu,Toronto (Rotman),University of Toronto,11,4.2500,728.0,257.2500,2016,2025,11
Serguei Netessine,Wharton (UPenn),University of Pennsylvania,9,3.3333,651.0,270.6667,2019,2024,9
Hamsa Bastani,Wharton (UPenn),University of Pennsylvania,7,3.1667,190.0,73.3333,2019,2026,7
Kostas Bimpikis,Stanford,Stanford University,9,3.0000,783.0,260.9167,2016,2024,9
Soo-Haeng Cho,Carnegie Mellon (Tepper),Carnegie Mellon University,8,3.0000,708.0,259.5000,2017,2024,8
Achal Bassamboo,Northwestern (Kellogg),Northwestern University,8,3.0000,399.0,144.1667,2016,2021,8
Jun Li,Michigan (Ross),University of Michigan,8,2.9167,790.0,278.3333,2018,2025,8
Juan Camilo Serpa,McGill (Desautels),McGill University,7,2.7500,369.0,156.4167,2017,2025,7
Georgia Perakis,MIT,Massachusetts Institute of Technology,9,2.7000,715.0,229.7333,2016,2025,9
Nikolaos Trichakis,MIT,Massachusetts Institute of Technology,9,2.7000,874.0,202.2000,2018,2024,9
Retsef Levi,MIT,Massachusetts Institute of Technology,9,2.6012,347.0,107.4762,2017,2025,9
Vishal Gupta,USC (Marshall),University of Southern California,5,2.5833,112.0,78.7500,2019,2022,5
Adam N. Elmachtoub,Columbia,Columbia University,7,2.5833,210.0,71.7500,2021,2026,7
Andrew M. Davis,Cornell,Cornell University,7,2.5417,219.0,84.6250,2018,2025,7
Peng Shi,USC (Marshall),University of Southern California,3,2.5000,77.0,45.0000,2020,2025,3
Özalp Özer,UT Dallas,University of Texas at Dallas,6,2.3333,277.0,105.3333,2016,2022,6
Nathan Kallus,Cornell,Cornell University,5,2.3333,153.0,71.5000,2020,2023,5
Ilan Lobel,NYU (Stern),New York University,5,2.2500,425.0,146.4167,2016,2025,5
Will Ma,Columbia,Columbia University,5,2.2500,83.0,36.0833,2021,2025,5
Zeyu Zheng,UC Berkeley (Haas),"University of California, Berkeley",6,2.2000,21.0,10.1667,2023,2025,6
Rajan Udwani,UC Berkeley (Haas),"University of California, Berkeley",3,2.1667,65.0,15.8333,2022,2025,3
Elena Katok,UT Dallas,University of Texas at Dallas,7,2.1583,138.0,40.1083,2018,2024,7
Bradley R. Staats,UNC (Kenan-Flagler),University of North Carolina,6,2.0833,541.0,150.5000,2017,2022,6
Di (Andrew) Wu,Michigan (Ross),University of Michigan,4,2.0833,249.0,126.5000,2021,2024,4
Vivek F. Farias,MIT,Massachusetts Institute of Technology,6,2.0417,277.0,100.0000,2017,2025,6
Paat Rusmevichientong,USC (Marshall),University of Southern California,6,2.0333,372.0,133.9667,2017,2025,6
N. Bora Keskin,Duke (Fuqua),Duke University,5,2.0000,263.0,106.6667,2020,2025,5
Ozan Candogan,Chicago (Booth),University of Chicago,5,2.0000,122.0,42.5000,2018,2025,5
Tinglong Dai,Johns Hopkins (Carey),Johns Hopkins University,5,2.0000,92.0,33.5000,2020,2024,5
