person_name,affiliation_institution,rankings_school_match,paper_count_full,paper_count_frac_authors,citation_sum_openalex,citation_frac_authors_openalex,first_year,last_year,unique_om_or_papers
David Simchi-Levi,Operations Research Center,MIT,25,14.5667,473.0,178.9667,2018,2025,25
David Simchi-Levi,Massachusetts Institute of Technology,MIT,14,4.8667,245.0,72.9500,2017,2025,14
Ming Hu,Rotman School of Management,Toronto (Rotman),11,4.2500,728.0,257.2500,2016,2025,11
Yiangos Papanastasiou,Haas School of Business,UC Berkeley (Haas),7,4.0000,680.0,375.3333,2017,2024,7
Serguei Netessine,University of Pennsylvania,Wharton (UPenn),9,3.3333,651.0,270.6667,2019,2024,9
Soo-Haeng Cho,Tepper School of Business,Carnegie Mellon (Tepper),8,3.0000,708.0,259.5000,2017,2024,8
Achal Bassamboo,Kellogg School of Management,Northwestern (Kellogg),8,3.0000,399.0,144.1667,2016,2021,8
Elodie Adida,School of Business,Unmapped,4,3.0000,144.0,90.0000,2019,2024,4
Hamsa Bastani,University of Pennsylvania,Wharton (UPenn),6,2.8333,122.0,50.6667,2019,2026,6
Victor Martínez-de-Albéniz,IESE Business School,Unmapped,6,2.6667,62.0,30.8333,2016,2025,6
Jun Li,Ross School of Business,Michigan (Ross),7,2.5833,503.0,182.6667,2018,2025,7
Adam N. Elmachtoub,Columbia University,Columbia,7,2.5833,210.0,71.7500,2021,2026,7
Andrew M. Davis,Samuel Curtis Johnson Graduate School of Management,Cornell,7,2.5417,219.0,84.6250,2018,2025,7
Kostas Bimpikis,Graduate School of Business,Stanford,7,2.4167,646.0,223.5833,2016,2020,7
Nathan Kallus,Cornell University,Cornell,5,2.3333,153.0,71.5000,2020,2023,5
Will Ma,Graduate School of Business,Columbia,5,2.2500,83.0,36.0833,2021,2025,5
Zeyu Zheng,University of California,UC Berkeley (Haas),6,2.2000,21.0,10.1667,2023,2025,6
Nicos Savva,London Business School,Unmapped,6,2.1667,760.0,306.1667,2017,2023,6
Elena Katok,Naveen Jindal School of Management,UT Dallas,7,2.1583,138.0,40.1083,2018,2024,7
Di (Andrew) Wu,Ross School of Business,Michigan (Ross),4,2.0833,249.0,126.5000,2021,2024,4
Rouba Ibrahim,School of Management,Unmapped,5,2.0000,163.0,59.0000,2017,2024,5
Ozan Candogan,Booth School of Business,Chicago (Booth),5,2.0000,122.0,42.5000,2018,2025,5
Tinglong Dai,Carey Business School,Johns Hopkins (Carey),5,2.0000,92.0,33.5000,2020,2024,5
Peng Shi,Marshall School of Business,USC (Marshall),2,2.0000,13.0,13.0000,2022,2025,2
Rajan Udwani,University of California,UC Berkeley (Haas),2,2.0000,6.0,6.0000,2024,2025,2
Retsef Levi,Sloan School of Management,MIT,7,1.9345,347.0,107.4762,2017,2025,7
Panos Kouvelis,Olin Business School,WashU (Olin),5,1.9167,603.0,283.8333,2016,2024,5
Melvyn Sim,NUS Business School,Unmapped,6,1.9167,752.0,247.0833,2018,2023,6
Hyoduk Shin,Rady School of Management,UC San Diego (Rady),5,1.9167,403.0,166.5000,2016,2021,5
Juan Camilo Serpa,McGill University,McGill (Desautels),5,1.9167,259.0,111.0833,2018,2025,5
Kyle Hyndman,Naveen Jindal School of Management,UT Dallas,5,1.8750,165.0,66.6250,2018,2025,5
Jiri Chod,Carroll School of Management,Boston College (Carroll),4,1.8667,943.0,402.2000,2017,2021,4
Stefan Scholtes,Judge Business School,Unmapped,6,1.8667,330.0,108.2667,2017,2024,6
Hessam Bavafa,Wisconsin School of Business,Wisconsin-Madison,5,1.8667,290.0,100.9000,2018,2025,5
Maxime C. Cohen,McGill University,McGill (Desautels),6,1.8333,343.0,113.6667,2020,2023,6
Gérard P. Cachon,University of Pennsylvania,Wharton (UPenn),3,1.8333,168.0,90.1667,2019,2022,3
Ryan W. Buell,Harvard Business School,Harvard,3,1.8333,68.0,55.5000,2017,2021,3
James Siderius,Massachusetts Institute of Technology,MIT,4,1.8333,72.0,32.5000,2022,2023,4
Hao Zhang,Sauder School of Business,UBC (Sauder),3,1.8333,61.0,25.1667,2018,2023,3
Jonathan Yu-Meng Li,Telfer School of Management,Unmapped,3,1.8333,8.0,3.5000,2018,2025,3
Stephen Leider,Ross School of Business,Michigan (Ross),6,1.8250,234.0,82.8750,2016,2025,6
Vivek F. Farias,Sloan School of Management,MIT,5,1.7083,228.0,83.6667,2017,2025,5
Gerry Tsoukalas,University of Pennsylvania,Wharton (UPenn),5,1.7000,1032.0,282.0333,2017,2021,5
Georgia Perakis,Sloan School of Management,MIT,6,1.7000,710.0,228.0667,2016,2025,6
Agostino Capponi,Columbia University,Columbia,5,1.7000,85.0,27.5667,2021,2025,5
Fei Gao,Kelley School of Business,Indiana (Kelley),4,1.6667,467.0,207.6667,2018,2024,4
Srikanth Jagabathula,Stern School of Business,NYU (Stern),4,1.6667,280.0,130.0000,2017,2023,4
Aditya Jain,Zicklin School of Business,Unmapped,3,1.6667,135.0,99.0000,2021,2025,3
Santiago R. Balseiro,Graduate School of Business,Columbia,4,1.6667,219.0,96.3333,2018,2023,4
Jordan Tong,Wisconsin School of Business,Wisconsin-Madison,4,1.6667,229.0,93.8333,2017,2022,4
Özalp Özer,Jindal School of Management,UT Dallas,4,1.6667,214.0,84.3333,2016,2020,4
Ali Aouad,London Business School,Unmapped,4,1.6667,202.0,81.6667,2021,2023,4
N. Bora Keskin,Fuqua School of Business,Duke (Fuqua),4,1.6667,174.0,77.0000,2020,2025,4
Ilan Lobel,Stern School of Business,NYU (Stern),3,1.6667,177.0,74.3333,2021,2025,3
Boxiao Chen,College of Business Administration,UIUC (Gies),5,1.6667,187.0,67.0833,2020,2024,5
Vahideh Manshadi,Yale School of Management,Yale,5,1.6667,46.0,14.5833,2022,2025,5
Ali Fattahi,Carey Business School,Johns Hopkins (Carey),3,1.6667,21.0,7.0000,2022,2025,3
Kamalini Ramdas,London Business School,Unmapped,6,1.6167,158.0,41.2167,2016,2024,6
Bradley R. Staats,Kenan-Flagler Business School,UNC (Kenan-Flagler),4,1.5833,184.0,61.2500,2018,2022,4
Yash Kanoria,Columbia Business School,Columbia,4,1.5833,119.0,52.8333,2020,2025,4
Milind Dawande,Naveen Jindal School of Management,UT Dallas,6,1.5833,116.0,29.5833,2016,2025,6
Henry Lam,Columbia University,Columbia,3,1.5833,24.0,7.5000,2021,2025,3
Timothy C. Y. Chan,University of Toronto,Toronto (Rotman),5,1.5595,130.0,44.5833,2016,2025,5
Paat Rusmevichientong,Marshall School of Business,USC (Marshall),5,1.5333,339.0,117.4667,2017,2025,5
Carri W. Chan,Columbia Business School,Columbia,5,1.5333,258.0,78.9333,2017,2025,5
