rank,person_name,rankings_school,score_blended_50_50,score_papers_norm,score_citations_norm,paper_count_frac_authors,citation_frac_authors_openalex,unique_om_or_papers
1,David Simchi-Levi,MIT,0.831235,1.000000,0.662470,19.7667,276.2500,40
2,Yiangos Papanastasiou,UC Berkeley (Haas),0.607959,0.215918,1.000000,4.3333,417.0000,8
3,Jiri Chod,Boston College (Carroll),0.527556,0.090604,0.964508,1.8667,402.2000,4
4,Ming Hu,Toronto (Rotman),0.414296,0.211686,0.616906,4.2500,257.2500,11
5,John R. Birge,Chicago (Booth),0.409433,0.059273,0.759592,1.2500,316.7500,3
6,Serguei Netessine,Wharton (UPenn),0.407097,0.165114,0.649081,3.3333,270.6667,9
7,Jun Li,Michigan (Ross),0.405707,0.143949,0.667466,2.9167,278.3333,8
8,Christopher S. Tang,UCLA (Anderson),0.390877,0.088907,0.692846,1.8333,288.9167,5
9,Kostas Bimpikis,Stanford,0.386940,0.148181,0.625700,3.0000,260.9167,9
10,Panos Kouvelis,WashU (Olin),0.386900,0.093144,0.680655,1.9167,283.8333,5
11,Soo-Haeng Cho,Carnegie Mellon (Tepper),0.385241,0.148181,0.622302,3.0000,259.5000,8
12,Gerry Tsoukalas,Wharton (UPenn),0.379237,0.082135,0.676339,1.7000,282.0333,5
13,Siva Viswanathan,Maryland (Smith),0.375693,0.021170,0.730216,0.5000,304.5000,1
14,Hau L. Lee,Stanford,0.373168,0.038103,0.708233,0.8333,295.3333,2
15,Georgia Perakis,MIT,0.341929,0.132939,0.550919,2.7000,229.7333,9
16,Nikolaos Trichakis,MIT,0.308916,0.132939,0.484892,2.7000,202.2000,9
17,Ruomeng Cui,Emory (Goizueta),0.298739,0.063505,0.533973,1.3333,222.6667,4
18,Santiago Gallino,Dartmouth (Tuck),0.289984,0.071974,0.507994,1.5000,211.8333,4
19,Fei Gao,Indiana (Kelley),0.289223,0.080443,0.498002,1.6667,207.6667,4
20,Robert Swinney,Duke (Fuqua),0.275484,0.046572,0.504396,1.0000,210.3333,3
21,Dennis J. Zhang,WashU (Olin),0.271666,0.058064,0.485269,1.2262,202.3571,5
22,Dimitris Bertsimas,MIT,0.255705,0.093144,0.418265,1.9167,174.4167,5
23,Juan Camilo Serpa,McGill (Desautels),0.255290,0.135480,0.375100,2.7500,156.4167,7
24,Achal Bassamboo,Northwestern (Kellogg),0.246952,0.148181,0.345724,3.0000,144.1667,8
25,Hyoduk Shin,UC San Diego (Rady),0.246213,0.093144,0.399281,1.9167,166.5000,5
26,John Gunnar Carlsson,USC (Marshall),0.244398,0.021170,0.467626,0.5000,195.0000,1
26,Siyuan Song,USC (Marshall),0.244398,0.021170,0.467626,0.5000,195.0000,1
28,Christian Terwiesch,Wharton (UPenn),0.239096,0.060965,0.417226,1.2833,173.9833,4
29,Alan Scheller-Wolf,Carnegie Mellon (Tepper),0.237071,0.059273,0.414868,1.2500,173.0000,4
30,Joel Goh,Harvard,0.232157,0.055041,0.409273,1.1667,170.6667,3
31,Bradley R. Staats,UNC (Kenan-Flagler),0.231260,0.101608,0.360911,2.0833,150.5000,6
32,Ilan Lobel,NYU (Stern),0.230598,0.110078,0.351119,2.2500,146.4167,5
33,Vishal V. Agrawal,UW (Foster),0.229594,0.063505,0.395683,1.3333,165.0000,3
34,Zuo-Jun Max Shen,UC Berkeley (Haas),0.221924,0.062296,0.381552,1.3095,159.1071,5
35,Hamed Mamani,UW (Foster),0.218055,0.056733,0.379376,1.2000,158.2000,4
36,Maxime C. Cohen,MIT,0.216582,0.012701,0.420464,0.3333,175.3333,1
36,Ruben Lobel,Wharton (UPenn),0.216582,0.012701,0.420464,0.3333,175.3333,1
38,Paat Rusmevichientong,USC (Marshall),0.210166,0.099068,0.321263,2.0333,133.9667,6
39,Di (Andrew) Wu,Michigan (Ross),0.202483,0.101608,0.303357,2.0833,126.5000,4
40,Srikanth Jagabathula,NYU (Stern),0.196097,0.080443,0.311751,1.6667,130.0000,4
41,Retsef Levi,MIT,0.192828,0.127920,0.257737,2.6012,107.4762,9
42,Xuanming Su,Wharton (UPenn),0.189826,0.063505,0.316147,1.3333,131.8333,3
43,Dan A. Iancu,Stanford,0.183514,0.059273,0.307754,1.2500,128.3333,4
44,Özalp Özer,UT Dallas,0.183454,0.114310,0.252598,2.3333,105.3333,6
45,Robert J. Batt,Wisconsin-Madison,0.182432,0.063505,0.301359,1.3333,125.6667,3
46,Maxime C. Cohen,McGill (Desautels),0.180745,0.088907,0.272582,1.8333,113.6667,6
47,N. Bora Keskin,Duke (Fuqua),0.176586,0.097376,0.255795,2.0000,106.6667,5
48,Vishal Gaur,Cornell,0.176430,0.084675,0.268185,1.7500,111.8333,5
49,Harish Krishnan,UBC (Sauder),0.176348,0.088907,0.263789,1.8333,110.0000,4
50,Tom Fangyun Tan,SMU (Cox),0.174039,0.063505,0.284572,1.3333,118.6667,3
51,Tunay I. Tunca,Maryland (Smith),0.173655,0.021170,0.326139,0.5000,136.0000,1
52,Vivek F. Farias,MIT,0.169652,0.099495,0.239808,2.0417,100.0000,6
53,Hessam Bavafa,Wisconsin-Madison,0.166285,0.090604,0.241966,1.8667,100.9000,5
54,Hamsa Bastani,Wharton (UPenn),0.166254,0.156650,0.175859,3.1667,73.3333,7
55,Andrew M. Davis,Cornell,0.163917,0.124897,0.202938,2.5417,84.6250,7
56,Suvrat Dhanorkar,Penn State (Smeal),0.163247,0.063505,0.262990,1.3333,109.6667,2
57,Jeffrey Pfeffer,Stanford,0.162625,0.012701,0.312550,0.3333,130.3333,1
57,Stefanos A. Zenios,Stanford,0.162625,0.012701,0.312550,0.3333,130.3333,1
59,Vishal Gupta,USC (Marshall),0.157930,0.127011,0.188849,2.5833,78.7500,5
60,Jing-Sheng Song,Duke (Fuqua),0.156329,0.080443,0.232214,1.6667,96.8333,4
61,Santiago R. Balseiro,Columbia,0.155729,0.080443,0.231015,1.6667,96.3333,4
62,L. Beril Toktay,Georgia Tech (Scheller),0.153193,0.071974,0.234412,1.5000,97.7500,5
63,Ryan Webb,Toronto (Rotman),0.152783,0.046572,0.258993,1.0000,108.0000,1
64,Jordan Tong,Wisconsin-Madison,0.152732,0.080443,0.225020,1.6667,93.8333,4
65,Gérard P. Cachon,Wharton (UPenn),0.152567,0.088907,0.216227,1.8333,90.1667,3
66,Omar Besbes,Columbia,0.152367,0.088907,0.215827,1.8333,90.0000,5
67,Mor Armony,NYU (Stern),0.149823,0.055041,0.244604,1.1667,102.0000,3
68,Adam N. Elmachtoub,Columbia,0.149536,0.127011,0.172062,2.5833,71.7500,7
