rank,person_name,rankings_school,citation_sum_openalex,citation_frac_authors_openalex,paper_count_frac_authors,unique_om_or_papers,first_year,last_year
1,Yiangos Papanastasiou,UC Berkeley (Haas),805.0,417.0000,4.3333,8,2017,2024
2,Jiri Chod,Boston College (Carroll),943.0,402.2000,1.8667,4,2017,2021
3,John R. Birge,Chicago (Booth),646.0,316.7500,1.2500,3,2018,2021
4,Siva Viswanathan,Maryland (Smith),609.0,304.5000,0.5000,1,2016,2016
5,Hau L. Lee,Stanford,686.0,295.3333,0.8333,2,2016,2018
6,Christopher S. Tang,UCLA (Anderson),688.0,288.9167,1.8333,5,2017,2025
7,Panos Kouvelis,WashU (Olin),603.0,283.8333,1.9167,5,2016,2024
8,Gerry Tsoukalas,Wharton (UPenn),1032.0,282.0333,1.7000,5,2017,2021
9,Jun Li,Michigan (Ross),790.0,278.3333,2.9167,8,2018,2025
10,David Simchi-Levi,MIT,791.0,276.2500,19.7667,40,2017,2025
11,Serguei Netessine,Wharton (UPenn),651.0,270.6667,3.3333,9,2019,2024
12,Kostas Bimpikis,Stanford,783.0,260.9167,3.0000,9,2016,2024
13,Soo-Haeng Cho,Carnegie Mellon (Tepper),708.0,259.5000,3.0000,8,2017,2024
14,Ming Hu,Toronto (Rotman),728.0,257.2500,4.2500,11,2016,2025
15,Georgia Perakis,MIT,715.0,229.7333,2.7000,9,2016,2025
16,Ruomeng Cui,Emory (Goizueta),668.0,222.6667,1.3333,4,2019,2020
17,Santiago Gallino,Dartmouth (Tuck),599.0,211.8333,1.5000,4,2017,2019
18,Robert Swinney,Duke (Fuqua),631.0,210.3333,1.0000,3,2016,2023
19,Fei Gao,Indiana (Kelley),467.0,207.6667,1.6667,4,2018,2024
20,Dennis J. Zhang,WashU (Olin),724.0,202.3571,1.2262,5,2019,2023
21,Nikolaos Trichakis,MIT,874.0,202.2000,2.7000,9,2018,2024
22,John Gunnar Carlsson,USC (Marshall),390.0,195.0000,0.5000,1,2018,2018
22,Siyuan Song,USC (Marshall),390.0,195.0000,0.5000,1,2018,2018
24,Maxime C. Cohen,MIT,526.0,175.3333,0.3333,1,2016,2016
24,Ruben Lobel,Wharton (UPenn),526.0,175.3333,0.3333,1,2016,2016
26,Dimitris Bertsimas,MIT,523.0,174.4167,1.9167,5,2016,2024
27,Christian Terwiesch,Wharton (UPenn),441.0,173.9833,1.2833,4,2017,2024
28,Alan Scheller-Wolf,Carnegie Mellon (Tepper),544.0,173.0000,1.2500,4,2016,2021
29,Joel Goh,Harvard,491.0,170.6667,1.1667,3,2016,2022
30,Hyoduk Shin,UC San Diego (Rady),403.0,166.5000,1.9167,5,2016,2021
31,Vishal V. Agrawal,UW (Foster),371.0,165.0000,1.3333,3,2017,2022
32,Zuo-Jun Max Shen,UC Berkeley (Haas),563.0,159.1071,1.3095,5,2017,2026
33,Hamed Mamani,UW (Foster),475.0,158.2000,1.2000,4,2017,2022
34,Juan Camilo Serpa,McGill (Desautels),369.0,156.4167,2.7500,7,2017,2025
35,Bradley R. Staats,UNC (Kenan-Flagler),541.0,150.5000,2.0833,6,2017,2022
36,Ilan Lobel,NYU (Stern),425.0,146.4167,2.2500,5,2016,2025
37,Achal Bassamboo,Northwestern (Kellogg),399.0,144.1667,3.0000,8,2016,2021
38,Tunay I. Tunca,Maryland (Smith),272.0,136.0000,0.5000,1,2018,2018
39,Paat Rusmevichientong,USC (Marshall),372.0,133.9667,2.0333,6,2017,2025
40,Xuanming Su,Wharton (UPenn),265.0,131.8333,1.3333,3,2017,2025
41,Jeffrey Pfeffer,Stanford,391.0,130.3333,0.3333,1,2016,2016
41,Stefanos A. Zenios,Stanford,391.0,130.3333,0.3333,1,2016,2016
43,Srikanth Jagabathula,NYU (Stern),280.0,130.0000,1.6667,4,2017,2023
44,Dan A. Iancu,Stanford,410.0,128.3333,1.2500,4,2017,2018
45,Di (Andrew) Wu,Michigan (Ross),249.0,126.5000,2.0833,4,2021,2024
46,Robert J. Batt,Wisconsin-Madison,252.0,125.6667,1.3333,3,2017,2025
47,Mark Weber,MIT,596.0,119.2000,0.2000,1,2020,2020
48,Tom Fangyun Tan,SMU (Cox),248.0,118.6667,1.3333,3,2019,2024
49,Maxime C. Cohen,McGill (Desautels),343.0,113.6667,1.8333,6,2020,2023
50,Vishal Gaur,Cornell,338.0,111.8333,1.7500,5,2016,2025
51,Harish Krishnan,UBC (Sauder),220.0,110.0000,1.8333,4,2017,2025
52,Suvrat Dhanorkar,Penn State (Smeal),123.0,109.6667,1.3333,2,2019,2022
53,Ioannis Bellos,Virginia (Darden),217.0,108.5000,0.5000,1,2017,2017
54,Ryan Webb,Toronto (Rotman),108.0,108.0000,1.0000,1,2019,2019
55,Retsef Levi,MIT,347.0,107.4762,2.6012,9,2017,2025
56,N. Bora Keskin,Duke (Fuqua),263.0,106.6667,2.0000,5,2020,2025
57,Jillian A. Berry Jaeker,Boston U (Questrom),212.0,106.0000,0.5000,1,2017,2017
58,Özalp Özer,UT Dallas,277.0,105.3333,2.3333,6,2016,2022
59,Zhuoxin Li,Boston College (Carroll),217.0,102.8333,0.8333,2,2017,2022
60,Mor Armony,NYU (Stern),262.0,102.0000,1.1667,3,2017,2021
61,Hessam Bavafa,Wisconsin-Madison,290.0,100.9000,1.8667,5,2018,2025
62,Vivek F. Farias,MIT,277.0,100.0000,2.0417,6,2017,2025
63,L. Beril Toktay,Georgia Tech (Scheller),325.0,97.7500,1.5000,5,2016,2024
