rank,person_name,rankings_school,paper_count_full,paper_count_frac_authors,citation_frac_authors_openalex,unique_om_or_papers,first_year,last_year
1,David Simchi-Levi,MIT,40,19.7667,276.2500,40,2017,2025
2,Yiangos Papanastasiou,UC Berkeley (Haas),8,4.3333,417.0000,8,2017,2024
3,Ming Hu,Toronto (Rotman),11,4.2500,257.2500,11,2016,2025
4,Serguei Netessine,Wharton (UPenn),9,3.3333,270.6667,9,2019,2024
5,Hamsa Bastani,Wharton (UPenn),7,3.1667,73.3333,7,2019,2026
6,Kostas Bimpikis,Stanford,9,3.0000,260.9167,9,2016,2024
7,Soo-Haeng Cho,Carnegie Mellon (Tepper),8,3.0000,259.5000,8,2017,2024
8,Achal Bassamboo,Northwestern (Kellogg),8,3.0000,144.1667,8,2016,2021
9,Jun Li,Michigan (Ross),8,2.9167,278.3333,8,2018,2025
10,Juan Camilo Serpa,McGill (Desautels),7,2.7500,156.4167,7,2017,2025
11,Georgia Perakis,MIT,9,2.7000,229.7333,9,2016,2025
12,Nikolaos Trichakis,MIT,9,2.7000,202.2000,9,2018,2024
13,Retsef Levi,MIT,9,2.6012,107.4762,9,2017,2025
14,Vishal Gupta,USC (Marshall),5,2.5833,78.7500,5,2019,2022
15,Adam N. Elmachtoub,Columbia,7,2.5833,71.7500,7,2021,2026
16,Andrew M. Davis,Cornell,7,2.5417,84.6250,7,2018,2025
17,Peng Shi,USC (Marshall),3,2.5000,45.0000,3,2020,2025
18,Özalp Özer,UT Dallas,6,2.3333,105.3333,6,2016,2022
19,Nathan Kallus,Cornell,5,2.3333,71.5000,5,2020,2023
20,Ilan Lobel,NYU (Stern),5,2.2500,146.4167,5,2016,2025
21,Will Ma,Columbia,5,2.2500,36.0833,5,2021,2025
22,Zeyu Zheng,UC Berkeley (Haas),6,2.2000,10.1667,6,2023,2025
23,Rajan Udwani,UC Berkeley (Haas),3,2.1667,15.8333,3,2022,2025
24,Elena Katok,UT Dallas,7,2.1583,40.1083,7,2018,2024
25,Bradley R. Staats,UNC (Kenan-Flagler),6,2.0833,150.5000,6,2017,2022
26,Di (Andrew) Wu,Michigan (Ross),4,2.0833,126.5000,4,2021,2024
27,Vivek F. Farias,MIT,6,2.0417,100.0000,6,2017,2025
28,Paat Rusmevichientong,USC (Marshall),6,2.0333,133.9667,6,2017,2025
29,N. Bora Keskin,Duke (Fuqua),5,2.0000,106.6667,5,2020,2025
30,Ozan Candogan,Chicago (Booth),5,2.0000,42.5000,5,2018,2025
31,Tinglong Dai,Johns Hopkins (Carey),5,2.0000,33.5000,5,2020,2024
32,Panos Kouvelis,WashU (Olin),5,1.9167,283.8333,5,2016,2024
33,Dimitris Bertsimas,MIT,5,1.9167,174.4167,5,2016,2024
34,Hyoduk Shin,UC San Diego (Rady),5,1.9167,166.5000,5,2016,2021
35,Daniela Saban,Stanford,5,1.9167,70.7500,5,2021,2025
36,Kyle Hyndman,UT Dallas,5,1.8750,66.6250,5,2018,2025
37,Jiri Chod,Boston College (Carroll),4,1.8667,402.2000,4,2017,2021
38,Hessam Bavafa,Wisconsin-Madison,5,1.8667,100.9000,5,2018,2025
39,Izak Duenyas,Michigan (Ross),6,1.8667,68.0000,6,2016,2025
40,Christopher S. Tang,UCLA (Anderson),5,1.8333,288.9167,5,2017,2025
41,Maxime C. Cohen,McGill (Desautels),6,1.8333,113.6667,6,2020,2023
42,Harish Krishnan,UBC (Sauder),4,1.8333,110.0000,4,2017,2025
43,Gérard P. Cachon,Wharton (UPenn),3,1.8333,90.1667,3,2019,2022
44,Omar Besbes,Columbia,5,1.8333,90.0000,5,2018,2023
45,Ryan W. Buell,Harvard,3,1.8333,55.5000,3,2017,2021
46,James Siderius,MIT,4,1.8333,32.5000,4,2022,2023
46,Mohamed Mostagir,Michigan (Ross),4,1.8333,32.5000,4,2022,2023
48,Hao Zhang,UBC (Sauder),3,1.8333,25.1667,3,2018,2023
49,Stephen Leider,Michigan (Ross),6,1.8250,82.8750,6,2016,2025
50,Vishal Gaur,Cornell,5,1.7500,111.8333,5,2016,2025
51,Jing Dong,Columbia,5,1.7500,54.4167,5,2018,2026
52,J. George Shanthikumar,Purdue (Daniels),6,1.7333,44.0667,6,2019,2025
53,Gerry Tsoukalas,Wharton (UPenn),5,1.7000,282.0333,5,2017,2021
54,Agostino Capponi,Columbia,5,1.7000,27.5667,5,2021,2025
55,Fei Gao,Indiana (Kelley),4,1.6667,207.6667,4,2018,2024
56,Srikanth Jagabathula,NYU (Stern),4,1.6667,130.0000,4,2017,2023
57,Jing-Sheng Song,Duke (Fuqua),4,1.6667,96.8333,4,2020,2025
58,Santiago R. Balseiro,Columbia,4,1.6667,96.3333,4,2018,2023
59,Jordan Tong,Wisconsin-Madison,4,1.6667,93.8333,4,2017,2022
60,Xiuli Chao,Michigan (Ross),5,1.6667,89.6667,5,2018,2023
61,Boxiao Chen,UIUC (Gies),5,1.6667,67.0833,5,2020,2024
62,Vahideh Manshadi,Yale,5,1.6667,14.5833,5,2022,2025
63,Ali Fattahi,Johns Hopkins (Carey),3,1.6667,7.0000,3,2022,2025
64,Yash Kanoria,Columbia,4,1.5833,52.8333,4,2020,2025
65,Milind Dawande,UT Dallas,6,1.5833,29.5833,6,2016,2025
66,Henry Lam,Columbia,3,1.5833,7.5000,3,2021,2025
67,Timothy C. Y. Chan,Toronto (Rotman),5,1.5595,44.5833,5,2016,2025
68,Carri W. Chan,Columbia,5,1.5333,78.9333,5,2017,2025
69,Greys Sošić,USC (Marshall),3,1.5333,67.1333,3,2019,2023
70,Qi Feng,Purdue (Daniels),5,1.5333,43.2667,5,2019,2025
71,Negin Golrezaei,MIT,4,1.5333,7.5000,4,2022,2025
72,Santiago Gallino,Dartmouth (Tuck),4,1.5000,211.8333,4,2017,2019
73,L. Beril Toktay,Georgia Tech (Scheller),5,1.5000,97.7500,5,2016,2024
74,Laurens Debo,Dartmouth (Tuck),4,1.5000,65.5000,4,2017,2023
75,Manel Baucells,Virginia (Darden),3,1.5000,46.0000,3,2017,2020
76,Jónas Oddur Jónasson,MIT,4,1.5000,38.2500,4,2021,2024
77,Ambar La Forgia,UC Berkeley (Haas),2,1.5000,31.0000,2,2023,2025
78,Steven M. Shechter,UBC (Sauder),2,1.5000,3.0000,2,2025,2025
79,Ken Moon,Wharton (UPenn),6,1.4333,58.1833,6,2018,2024
80,Selvaprabu Nadarajah,UIUC (Gies),4,1.4167,8.8333,4,2020,2025
81,Soroush Saghafian,Harvard,3,1.4000,29.8000,3,2018,2023
82,Rad Niazadeh,Chicago (Booth),4,1.3667,6.1667,4,2023,2025
83,Ruomeng Cui,Emory (Goizueta),4,1.3333,222.6667,4,2019,2020
84,Vishal V. Agrawal,UW (Foster),3,1.3333,165.0000,3,2017,2022
85,Xuanming Su,Wharton (UPenn),3,1.3333,131.8333,3,2017,2025
86,Robert J. Batt,Wisconsin-Madison,3,1.3333,125.6667,3,2017,2025
87,Tom Fangyun Tan,SMU (Cox),3,1.3333,118.6667,3,2019,2024
88,Suvrat Dhanorkar,Penn State (Smeal),2,1.3333,109.6667,2,2019,2022
89,Nur Sunar,UNC (Kenan-Flagler),3,1.3333,93.1667,3,2019,2021
90,Shiliang Cui,UW (Foster),4,1.3333,83.0000,4,2020,2022
91,Leela Nageswaran,UW (Foster),4,1.3333,79.6667,4,2020,2025
92,Enno Siemsen,Wisconsin-Madison,3,1.3333,76.1667,3,2017,2023
93,Hamid Nazerzadeh,USC (Marshall),3,1.3333,59.5000,3,2016,2022
94,David B. Brown,Duke (Fuqua),3,1.3333,56.5000,3,2020,2024
95,Daniel Feiler,Dartmouth (Tuck),3,1.3333,54.8333,3,2017,2023
96,William Schmidt,Cornell,3,1.3333,54.1667,3,2017,2022
97,Robert L. Bray,Northwestern (Kellogg),2,1.3333,45.3333,2,2019,2019
98,So Yeon Chun,UW (Foster),3,1.3333,37.6667,3,2017,2020
99,Guihua Wang,UT Dallas,2,1.3333,25.6667,2,2022,2022
100,Susan Feng Lu,Purdue (Daniels),3,1.3333,25.0000,3,2017,2022
101,Bradley Sturt,UIUC (Gies),2,1.3333,19.6667,2,2023,2025
102,Samantha M. Keppler,Michigan (Ross),2,1.3333,18.0000,2,2022,2024
103,Ganesh Janakiraman,UT Dallas,5,1.3333,10.8333,5,2018,2025
104,Zuo-Jun Max Shen,UC Berkeley (Haas),5,1.3095,159.1071,5,2017,2026
105,Christian Terwiesch,Wharton (UPenn),4,1.2833,173.9833,4,2017,2024
106,John R. Birge,Chicago (Booth),3,1.2500,316.7500,3,2018,2021
107,Alan Scheller-Wolf,Carnegie Mellon (Tepper),4,1.2500,173.0000,4,2016,2021
108,Dan A. Iancu,Stanford,4,1.2500,128.3333,4,2017,2018
109,Song-Hee Kim,USC (Marshall),4,1.2500,60.4167,4,2020,2021
110,Shouqiang Wang,UT Dallas,4,1.2500,19.9167,4,2017,2025
111,Christopher Thomas Ryan,UBC (Sauder),4,1.2500,16.0000,4,2021,2025
112,Dennis J. Zhang,WashU (Olin),5,1.2262,202.3571,5,2019,2023
113,Hamed Mamani,UW (Foster),4,1.2000,158.2000,4,2017,2022
114,Kevin Shang,Duke (Fuqua),4,1.2000,31.4667,4,2016,2024
115,Joel Goh,Harvard,3,1.1667,170.6667,3,2016,2022
116,Mor Armony,NYU (Stern),3,1.1667,102.0000,3,2017,2021
