rankings_school,people_count,paper_full_sum,paper_frac_sum,paper_frac_avg_per_person,citation_sum_openalex,citation_frac_sum_openalex,citation_frac_avg_per_person,paper_concentration_top1_share,paper_concentration_top3_share,citation_concentration_top1_share,citation_concentration_top3_share
MIT,74,169,64.3696,0.8699,7002.0,2176.5786,29.4132,0.3071,0.3910,0.1269,0.3254
Columbia,65,114,39.3337,0.6051,3711.0,1186.4105,18.2525,0.0657,0.1695,0.0812,0.2236
Wharton (UPenn),65,110,37.5518,0.5777,6047.0,2138.0830,32.8936,0.0888,0.2219,0.1319,0.3405
Michigan (Ross),48,85,30.7090,0.6398,3749.0,1297.4119,27.0294,0.0950,0.2236,0.2145,0.3868
Stanford,50,82,28.1480,0.5630,4745.0,1707.6999,34.1540,0.1066,0.2191,0.1729,0.4021
UW (Foster),60,83,25.7908,0.4298,3621.0,1264.7337,21.0789,0.0517,0.1551,0.1305,0.3322
Cornell,43,75,25.2355,0.5869,2782.0,887.8008,20.6465,0.1007,0.2625,0.1260,0.3152
UC Berkeley (Haas),34,54,22.3258,0.6566,2230.0,899.5738,26.4581,0.1941,0.3897,0.4636,0.7390
UT Dallas,27,63,22.2662,0.8247,1644.0,582.7334,21.5827,0.1048,0.2859,0.1808,0.3700
USC (Marshall),31,52,21.6331,0.6978,2717.0,1164.7001,37.5710,0.1194,0.3290,0.1674,0.4499
Toronto (Rotman),37,57,20.5236,0.5547,2247.0,874.2498,23.6284,0.2071,0.3318,0.2943,0.5040
NYU (Stern),29,49,17.7119,0.6108,2523.0,1004.3166,34.6316,0.1270,0.2870,0.1458,0.3768
Duke (Fuqua),28,50,16.9856,0.6066,2190.0,763.5382,27.2692,0.1177,0.2944,0.2755,0.5420
Chicago (Booth),33,47,16.8022,0.5092,2016.0,763.7497,23.1439,0.1190,0.2748,0.4147,0.5880
Harvard,42,50,16.3928,0.3903,2110.0,660.5717,15.7279,0.1118,0.2684,0.2584,0.4075
Northwestern (Kellogg),32,48,15.5926,0.4873,2213.0,677.2000,21.1625,0.1924,0.3527,0.2129,0.4418
Carnegie Mellon (Tepper),27,44,15.3498,0.5685,2220.0,734.2334,27.1938,0.1954,0.3420,0.3534,0.6367
UNC (Kenan-Flagler),28,42,15.1663,0.5417,1842.0,630.6666,22.5238,0.1374,0.2912,0.2386,0.4597
Georgia Tech (Scheller),25,39,14.1662,0.5666,1622.0,597.1667,23.8867,0.1059,0.2588,0.1637,0.4150
UIUC (Gies),26,39,13.6330,0.5243,997.0,343.9999,13.2308,0.1223,0.3240,0.1950,0.4591
UCLA (Anderson),21,37,13.1759,0.6274,1787.0,672.1572,32.0075,0.1391,0.2973,0.4298,0.6180
UBC (Sauder),24,35,13.0247,0.5427,1092.0,341.4000,14.2250,0.1408,0.3967,0.3222,0.5397
