rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted
MIT,2016,6.0000,8.0000,1411.0000,1492.0000
MIT,2017,5.0000,4.0000,253.0000,266.0000
MIT,2018,6.0000,7.0000,459.0000,419.0000
MIT,2019,12.0000,15.0000,806.0000,1015.0000
MIT,2020,11.0000,11.0000,1241.0000,1751.0000
MIT,2021,17.0000,23.0000,510.0000,745.0000
MIT,2022,17.0000,23.0000,525.0000,781.0000
MIT,2023,23.0000,21.0000,391.0000,354.0000
MIT,2024,16.0000,17.0000,172.0000,123.0000
MIT,2025,30.0000,39.0000,53.0000,56.0000
MIT,2026,2.0000,1.0000,0.0000,0.0000
UT Dallas,2016,2.0000,4.0000,86.0000,236.0000
UT Dallas,2017,2.0000,2.0000,44.0000,44.0000
UT Dallas,2018,4.0000,9.0000,193.0000,364.0000
UT Dallas,2019,4.0000,4.0000,149.0000,149.0000
UT Dallas,2020,4.0000,6.0000,145.0000,211.0000
UT Dallas,2021,4.0000,5.0000,54.0000,61.0000
UT Dallas,2022,6.0000,10.0000,120.0000,236.0000
UT Dallas,2023,4.0000,6.0000,179.0000,221.0000
UT Dallas,2024,5.0000,6.0000,111.0000,115.0000
UT Dallas,2025,8.0000,10.0000,5.0000,7.0000
UT Dallas,2026,1.0000,1.0000,0.0000,0.0000
Columbia,2016,3.0000,2.0000,198.0000,105.0000
Columbia,2017,5.0000,4.0000,384.0000,332.0000
Columbia,2018,8.0000,9.0000,531.0000,617.0000
Columbia,2019,5.0000,6.0000,270.0000,323.0000
Columbia,2020,10.0000,17.0000,475.0000,742.0000
Columbia,2021,19.0000,18.0000,904.0000,721.0000
Columbia,2022,16.0000,20.0000,574.0000,934.0000
Columbia,2023,19.0000,23.0000,455.0000,575.0000
Columbia,2024,10.0000,11.0000,104.0000,110.0000
Columbia,2025,18.0000,15.0000,27.0000,34.0000
Columbia,2026,8.0000,10.0000,3.0000,3.0000
Wharton (UPenn),2016,2.0000,2.0000,637.0000,637.0000
Wharton (UPenn),2017,4.0000,5.0000,525.0000,620.0000
Wharton (UPenn),2018,7.0000,9.0000,1005.0000,1318.0000
Wharton (UPenn),2019,6.0000,6.0000,521.0000,521.0000
Wharton (UPenn),2020,8.0000,9.0000,1149.0000,1254.0000
Wharton (UPenn),2021,5.0000,6.0000,270.0000,451.0000
Wharton (UPenn),2022,10.0000,16.0000,278.0000,404.0000
Wharton (UPenn),2023,4.0000,6.0000,89.0000,157.0000
Wharton (UPenn),2024,8.0000,11.0000,153.0000,178.0000
Wharton (UPenn),2025,4.0000,5.0000,11.0000,11.0000
Wharton (UPenn),2026,2.0000,3.0000,8.0000,12.0000
Toronto (Rotman),2016,5.0000,8.0000,383.0000,702.0000
Toronto (Rotman),2017,2.0000,2.0000,134.0000,134.0000
Toronto (Rotman),2018,2.0000,2.0000,160.0000,160.0000
Toronto (Rotman),2019,5.0000,6.0000,249.0000,274.0000
Toronto (Rotman),2020,2.0000,3.0000,55.0000,73.0000
Toronto (Rotman),2021,5.0000,5.0000,389.0000,389.0000
Toronto (Rotman),2022,7.0000,12.0000,352.0000,387.0000
Toronto (Rotman),2023,1.0000,1.0000,36.0000,36.0000
Toronto (Rotman),2024,5.0000,6.0000,78.0000,84.0000
Toronto (Rotman),2025,7.0000,12.0000,5.0000,8.0000
Toronto (Rotman),2026,0.0000,0.0000,0.0000,0.0000
NYU (Stern),2016,4.0000,7.0000,432.0000,845.0000
NYU (Stern),2017,4.0000,3.0000,359.0000,261.0000
NYU (Stern),2018,2.0000,2.0000,135.0000,194.0000
NYU (Stern),2019,5.0000,4.0000,204.0000,186.0000
NYU (Stern),2020,4.0000,6.0000,279.0000,382.0000
NYU (Stern),2021,4.0000,4.0000,353.0000,424.0000
NYU (Stern),2022,2.0000,2.0000,80.0000,80.0000
NYU (Stern),2023,5.0000,4.0000,219.0000,60.0000
NYU (Stern),2024,8.0000,7.0000,79.0000,82.0000
NYU (Stern),2025,12.0000,9.0000,13.0000,9.0000
NYU (Stern),2026,1.0000,1.0000,0.0000,0.0000
Harvard,2016,1.0000,1.0000,391.0000,391.0000
Harvard,2017,3.0000,4.0000,93.0000,93.0000
Harvard,2018,4.0000,5.0000,435.0000,607.0000
Harvard,2019,1.0000,1.0000,58.0000,58.0000
Harvard,2020,3.0000,3.0000,198.0000,198.0000
Harvard,2021,7.0000,9.0000,176.0000,217.0000
Harvard,2022,4.0000,9.0000,142.0000,367.0000
Harvard,2023,5.0000,7.0000,98.0000,114.0000
Harvard,2024,3.0000,3.0000,44.0000,44.0000
Harvard,2025,6.0000,8.0000,21.0000,21.0000
Harvard,2026,0.0000,0.0000,0.0000,0.0000
Duke (Fuqua),2016,2.0000,3.0000,347.0000,408.0000
Duke (Fuqua),2017,3.0000,4.0000,301.0000,319.0000
Duke (Fuqua),2018,3.0000,3.0000,145.0000,145.0000
Duke (Fuqua),2019,1.0000,2.0000,14.0000,28.0000
Duke (Fuqua),2020,4.0000,5.0000,232.0000,260.0000
Duke (Fuqua),2021,3.0000,3.0000,109.0000,109.0000
Duke (Fuqua),2022,6.0000,12.0000,276.0000,547.0000
Duke (Fuqua),2023,2.0000,4.0000,149.0000,185.0000
Duke (Fuqua),2024,4.0000,5.0000,23.0000,28.0000
Duke (Fuqua),2025,4.0000,9.0000,62.0000,161.0000
Duke (Fuqua),2026,0.0000,0.0000,0.0000,0.0000
Cornell,2016,2.0000,2.0000,334.0000,334.0000
Cornell,2017,2.0000,2.0000,39.0000,39.0000
Cornell,2018,3.0000,3.0000,129.0000,129.0000
Cornell,2019,4.0000,6.0000,172.0000,210.0000
Cornell,2020,5.0000,8.0000,404.0000,556.0000
Cornell,2021,6.0000,10.0000,331.0000,525.0000
Cornell,2022,7.0000,9.0000,134.0000,189.0000
Cornell,2023,7.0000,12.0000,274.0000,458.0000
Cornell,2024,3.0000,4.0000,158.0000,298.0000
Cornell,2025,13.0000,18.0000,38.0000,44.0000
Cornell,2026,1.0000,1.0000,0.0000,0.0000
WashU (Olin),2016,1.0000,1.0000,336.0000,336.0000
WashU (Olin),2017,1.0000,1.0000,185.0000,185.0000
WashU (Olin),2018,2.0000,3.0000,207.0000,229.0000
WashU (Olin),2019,3.0000,4.0000,256.0000,347.0000
WashU (Olin),2020,1.0000,1.0000,287.0000,287.0000
WashU (Olin),2021,2.0000,2.0000,236.0000,236.0000
WashU (Olin),2022,2.0000,2.0000,177.0000,177.0000
WashU (Olin),2023,2.0000,2.0000,243.0000,243.0000
WashU (Olin),2024,2.0000,2.0000,12.0000,12.0000
WashU (Olin),2025,3.0000,3.0000,16.0000,16.0000
WashU (Olin),2026,0.0000,0.0000,0.0000,0.0000
Chicago (Booth),2016,2.0000,3.0000,238.0000,263.0000
Chicago (Booth),2017,3.0000,4.0000,326.0000,386.0000
Chicago (Booth),2018,3.0000,3.0000,573.0000,573.0000
Chicago (Booth),2019,4.0000,4.0000,269.0000,269.0000
Chicago (Booth),2020,4.0000,3.0000,171.0000,162.0000
Chicago (Booth),2021,3.0000,3.0000,138.0000,107.0000
Chicago (Booth),2022,4.0000,3.0000,184.0000,145.0000
Chicago (Booth),2023,7.0000,3.0000,107.0000,31.0000
Chicago (Booth),2024,6.0000,6.0000,59.0000,39.0000
Chicago (Booth),2025,14.0000,15.0000,39.0000,41.0000
Chicago (Booth),2026,0.0000,0.0000,0.0000,0.0000
USC (Marshall),2016,4.0000,2.0000,338.0000,121.0000
USC (Marshall),2017,2.0000,2.0000,208.0000,208.0000
USC (Marshall),2018,4.0000,4.0000,606.0000,918.0000
USC (Marshall),2019,3.0000,3.0000,181.0000,181.0000
USC (Marshall),2020,6.0000,11.0000,316.0000,492.0000
USC (Marshall),2021,7.0000,10.0000,407.0000,609.0000
USC (Marshall),2022,5.0000,6.0000,51.0000,59.0000
USC (Marshall),2023,3.0000,3.0000,39.0000,39.0000
USC (Marshall),2024,2.0000,2.0000,17.0000,17.0000
USC (Marshall),2025,7.0000,7.0000,22.0000,31.0000
USC (Marshall),2026,1.0000,2.0000,21.0000,42.0000
Michigan (Ross),2016,3.0000,6.0000,371.0000,619.0000
Michigan (Ross),2017,1.0000,1.0000,44.0000,44.0000
Michigan (Ross),2018,11.0000,16.0000,695.0000,1008.0000
Michigan (Ross),2019,3.0000,5.0000,89.0000,155.0000
Michigan (Ross),2020,6.0000,6.0000,649.0000,649.0000
Michigan (Ross),2021,5.0000,9.0000,231.0000,517.0000
Michigan (Ross),2022,12.0000,14.0000,268.0000,356.0000
Michigan (Ross),2023,7.0000,9.0000,112.0000,149.0000
Michigan (Ross),2024,7.0000,7.0000,199.0000,229.0000
Michigan (Ross),2025,10.0000,11.0000,30.0000,23.0000
Michigan (Ross),2026,1.0000,1.0000,0.0000,0.0000
UCLA (Anderson),2016,1.0000,2.0000,82.0000,164.0000
UCLA (Anderson),2017,2.0000,3.0000,74.0000,134.0000
UCLA (Anderson),2018,2.0000,2.0000,585.0000,585.0000
UCLA (Anderson),2019,2.0000,2.0000,182.0000,182.0000
UCLA (Anderson),2020,1.0000,1.0000,200.0000,200.0000
UCLA (Anderson),2021,2.0000,2.0000,217.0000,217.0000
UCLA (Anderson),2022,6.0000,7.0000,94.0000,140.0000
UCLA (Anderson),2023,5.0000,5.0000,119.0000,119.0000
UCLA (Anderson),2024,2.0000,2.0000,9.0000,9.0000
UCLA (Anderson),2025,8.0000,10.0000,34.0000,37.0000
UCLA (Anderson),2026,1.0000,1.0000,0.0000,0.0000
Northwestern (Kellogg),2016,2.0000,4.0000,147.0000,333.0000
Northwestern (Kellogg),2017,3.0000,4.0000,360.0000,588.0000
Northwestern (Kellogg),2018,2.0000,3.0000,82.0000,138.0000
Northwestern (Kellogg),2019,9.0000,13.0000,482.0000,568.0000
Northwestern (Kellogg),2020,3.0000,4.0000,158.0000,159.0000
Northwestern (Kellogg),2021,4.0000,4.0000,98.0000,98.0000
Northwestern (Kellogg),2022,6.0000,7.0000,270.0000,301.0000
Northwestern (Kellogg),2023,0.0000,0.0000,0.0000,0.0000
Northwestern (Kellogg),2024,1.0000,1.0000,22.0000,22.0000
Northwestern (Kellogg),2025,3.0000,4.0000,2.0000,3.0000
Northwestern (Kellogg),2026,3.0000,4.0000,2.0000,3.0000
Stanford,2016,4.0000,6.0000,853.0000,1530.0000
Stanford,2017,4.0000,4.0000,355.0000,355.0000
Stanford,2018,5.0000,8.0000,756.0000,1042.0000
Stanford,2019,8.0000,10.0000,573.0000,778.0000
Stanford,2020,4.0000,4.0000,284.0000,284.0000
Stanford,2021,8.0000,13.0000,208.0000,291.0000
Stanford,2022,10.0000,15.0000,149.0000,201.0000
Stanford,2023,4.0000,8.0000,92.0000,150.0000
Stanford,2024,6.0000,9.0000,83.0000,101.0000
Stanford,2025,5.0000,5.0000,13.0000,13.0000
Stanford,2026,0.0000,0.0000,0.0000,0.0000
Minnesota (Carlson),2016,1.0000,2.0000,162.0000,324.0000
Minnesota (Carlson),2017,1.0000,1.0000,124.0000,124.0000
Minnesota (Carlson),2018,5.0000,5.0000,397.0000,397.0000
Minnesota (Carlson),2019,2.0000,3.0000,160.0000,188.0000
Minnesota (Carlson),2020,0.0000,0.0000,0.0000,0.0000
Minnesota (Carlson),2021,1.0000,0.0000,149.0000,0.0000
Minnesota (Carlson),2022,6.0000,9.0000,141.0000,255.0000
Minnesota (Carlson),2023,3.0000,3.0000,49.0000,49.0000
Minnesota (Carlson),2024,1.0000,3.0000,15.0000,45.0000
Minnesota (Carlson),2025,3.0000,4.0000,6.0000,6.0000
Minnesota (Carlson),2026,2.0000,2.0000,6.0000,6.0000
Purdue (Daniels),2016,1.0000,1.0000,181.0000,181.0000
Purdue (Daniels),2017,1.0000,1.0000,31.0000,31.0000
Purdue (Daniels),2018,1.0000,1.0000,100.0000,100.0000
Purdue (Daniels),2019,1.0000,3.0000,43.0000,129.0000
Purdue (Daniels),2020,2.0000,3.0000,49.0000,97.0000
Purdue (Daniels),2021,0.0000,0.0000,0.0000,0.0000
Purdue (Daniels),2022,8.0000,8.0000,202.0000,108.0000
Purdue (Daniels),2023,0.0000,0.0000,0.0000,0.0000
Purdue (Daniels),2024,4.0000,5.0000,74.0000,112.0000
Purdue (Daniels),2025,3.0000,4.0000,0.0000,0.0000
Purdue (Daniels),2026,0.0000,0.0000,0.0000,0.0000
Indiana (Kelley),2016,2.0000,1.0000,274.0000,93.0000
Indiana (Kelley),2017,2.0000,1.0000,155.0000,124.0000
Indiana (Kelley),2018,4.0000,3.0000,411.0000,311.0000
Indiana (Kelley),2019,1.0000,0.0000,43.0000,0.0000
Indiana (Kelley),2020,3.0000,1.0000,104.0000,55.0000
Indiana (Kelley),2021,2.0000,2.0000,188.0000,188.0000
Indiana (Kelley),2022,14.0000,8.0000,578.0000,599.0000
Indiana (Kelley),2023,3.0000,6.0000,83.0000,113.0000
Indiana (Kelley),2024,8.0000,4.0000,186.0000,112.0000
Indiana (Kelley),2025,10.0000,6.0000,23.0000,21.0000
Indiana (Kelley),2026,2.0000,2.0000,5.0000,5.0000
Boston U (Questrom),2016,0.0000,0.0000,0.0000,0.0000
Boston U (Questrom),2017,1.0000,1.0000,212.0000,212.0000
Boston U (Questrom),2018,1.0000,1.0000,217.0000,217.0000
Boston U (Questrom),2019,1.0000,1.0000,125.0000,125.0000
Boston U (Questrom),2020,1.0000,1.0000,106.0000,106.0000
Boston U (Questrom),2021,0.0000,0.0000,0.0000,0.0000
Boston U (Questrom),2022,4.0000,5.0000,94.0000,139.0000
Boston U (Questrom),2023,5.0000,5.0000,226.0000,226.0000
Boston U (Questrom),2024,3.0000,4.0000,51.0000,63.0000
Boston U (Questrom),2025,3.0000,3.0000,4.0000,4.0000
Boston U (Questrom),2026,1.0000,1.0000,0.0000,0.0000
UNC (Kenan-Flagler),2016,1.0000,1.0000,30.0000,30.0000
UNC (Kenan-Flagler),2017,3.0000,4.0000,260.0000,445.0000
UNC (Kenan-Flagler),2018,6.0000,6.0000,712.0000,497.0000
UNC (Kenan-Flagler),2019,2.0000,2.0000,177.0000,177.0000
UNC (Kenan-Flagler),2020,2.0000,3.0000,95.0000,111.0000
UNC (Kenan-Flagler),2021,3.0000,6.0000,106.0000,212.0000
UNC (Kenan-Flagler),2022,3.0000,4.0000,80.0000,84.0000
UNC (Kenan-Flagler),2023,2.0000,5.0000,59.0000,162.0000
UNC (Kenan-Flagler),2024,1.0000,1.0000,9.0000,9.0000
UNC (Kenan-Flagler),2025,5.0000,5.0000,6.0000,5.0000
UNC (Kenan-Flagler),2026,1.0000,1.0000,1.0000,1.0000
Georgia Tech (Scheller),2016,2.0000,3.0000,183.0000,308.0000
Georgia Tech (Scheller),2017,1.0000,2.0000,29.0000,58.0000
Georgia Tech (Scheller),2018,4.0000,6.0000,201.0000,231.0000
Georgia Tech (Scheller),2019,2.0000,3.0000,223.0000,355.0000
Georgia Tech (Scheller),2020,2.0000,3.0000,236.0000,324.0000
Georgia Tech (Scheller),2021,4.0000,5.0000,113.0000,134.0000
Georgia Tech (Scheller),2022,3.0000,5.0000,83.0000,153.0000
Georgia Tech (Scheller),2023,0.0000,0.0000,0.0000,0.0000
Georgia Tech (Scheller),2024,2.0000,2.0000,27.0000,27.0000
Georgia Tech (Scheller),2025,6.0000,8.0000,32.0000,32.0000
Georgia Tech (Scheller),2026,1.0000,2.0000,0.0000,0.0000
Yale,2016,0.0000,0.0000,0.0000,0.0000
Yale,2017,0.0000,0.0000,0.0000,0.0000
Yale,2018,0.0000,0.0000,0.0000,0.0000
Yale,2019,3.0000,3.0000,310.0000,310.0000
Yale,2020,1.0000,1.0000,19.0000,19.0000
Yale,2021,1.0000,1.0000,2.0000,2.0000
Yale,2022,2.0000,2.0000,14.0000,14.0000
Yale,2023,3.0000,3.0000,45.0000,45.0000
Yale,2024,0.0000,0.0000,0.0000,0.0000
Yale,2025,5.0000,6.0000,26.0000,37.0000
Yale,2026,3.0000,4.0000,1.0000,1.0000
Carnegie Mellon (Tepper),2016,1.0000,3.0000,100.0000,300.0000
Carnegie Mellon (Tepper),2017,2.0000,3.0000,124.0000,166.0000
Carnegie Mellon (Tepper),2018,3.0000,3.0000,171.0000,171.0000
Carnegie Mellon (Tepper),2019,0.0000,0.0000,0.0000,0.0000
Carnegie Mellon (Tepper),2020,3.0000,4.0000,329.0000,545.0000
Carnegie Mellon (Tepper),2021,3.0000,6.0000,245.0000,532.0000
Carnegie Mellon (Tepper),2022,4.0000,7.0000,200.0000,424.0000
Carnegie Mellon (Tepper),2023,3.0000,3.0000,26.0000,26.0000
Carnegie Mellon (Tepper),2024,2.0000,2.0000,29.0000,29.0000
Carnegie Mellon (Tepper),2025,10.0000,12.0000,24.0000,25.0000
Carnegie Mellon (Tepper),2026,1.0000,1.0000,2.0000,2.0000
Arizona State (Carey),2016,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2017,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2018,1.0000,1.0000,20.0000,20.0000
Arizona State (Carey),2019,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2020,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2021,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2022,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2023,1.0000,1.0000,62.0000,62.0000
Arizona State (Carey),2024,1.0000,1.0000,11.0000,11.0000
Arizona State (Carey),2025,4.0000,6.0000,14.0000,24.0000
Arizona State (Carey),2026,1.0000,1.0000,0.0000,0.0000
