paper_key,year,title,journal,status,published_or_forthcoming,doi,authors,author_affiliations_at_publication,school_credit_map,keep_om,exclude_reason,citation_count,citation_source,citation_url,citation_last_checked_date,google_scholar_citations,google_scholar_url,citations_last_checked_date,notes,ms_department,discipline_bucket,dept_confidence,dept_signals,abstract_excerpt,business_school_affiliation
doi:10.1287/msom.2016.0578,2016,2015 <i>M&amp;SOM</i> Meritorious Service Award,Manufacturing & Service Operations Management,,published,10.1287/msom.2016.0578,,[],,1,,0,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2016.0578,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"The continued success of Manufacturing &amp; Service Operations Management (M&amp;SOM) depends on the volunteer work of many professionals who take their precious time to provide careful and constructive reviews of the manuscripts submitted to the journal in a timely manner. On behalf of M&amp;SOM, Editor-in-Chief Christopher Tang would like to express his deepest gratitude to all those who served as reviewers for the journal in 2015. Among all reviewers, some individuals have distinguished themselves by reviewing several manuscripts and with each manuscript by writing a fair, critical, and constructive review in a timely fashion. In recognition of their outstanding service provided to suppo",no
doi:10.1287/msom.2015.0556,2016,A Modeling Framework for Control of Preventive Services,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0556,E. Lerzan Örmeci; Evrim Didem Güneş; Derya Kunduzcu,"[{""author"": ""E. Lerzan \u00d6rmeci"", ""affiliations"": [""Department of Industrial Engineering, Ko\u00e7 University, 34450 Istanbul, Turkey""]}, {""author"": ""Evrim Didem G\u00fcne\u015f"", ""affiliations"": [""College of Administrative Sciences and Economics, Ko\u00e7 University, 34450 Istanbul, Turkey""]}, {""author"": ""Derya Kunduzcu"", ""affiliations"": [""Credit Analytics, Akbank, 34774 Istanbul, Turkey""]}]",,1,,18,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0556,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"We present a modeling framework for facilities that provide both screening (preventive) and diagnostic (repair) services. The facility operates in a random environment that represents the condition of the population that needs screening and diagnostic services, such as the disease prevalence level. We model the environment as a partially endogenous process: the population’s health can be improved by providing screening services, which reduces future demand for diagnostic services. We use event-based dynamic programming to build a framework for modeling different kinds of these facilities. This framework contains a number of service priority policies that are concerned with prioritizing scree",no
doi:10.1287/msom.2015.0557,2016,A Scenario-Based Approach for Operating Theater Scheduling Under Uncertainty,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0557,Nickolas K. Freeman; Sharif H. Melouk; John Mittenthal,"[{""author"": ""Nickolas K. Freeman"", ""affiliations"": [""University of Houston, Houston, Texas 77204""]}, {""author"": ""Sharif H. Melouk"", ""affiliations"": [""University of Alabama, Tuscaloosa, Alabama 35487""]}, {""author"": ""John Mittenthal"", ""affiliations"": [""University of Alabama, Tuscaloosa, Alabama 35487""]}]",,1,,62,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0557,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"Elective operation scheduling significantly affects the financial health of a hospital and additional metrics important to stakeholders in an operating theater (OT) environment. In this research, we develop a novel scheduling formulation that explicitly considers the uncertainty in elective operation durations and also plans for potential randomly arriving urgent demands. Using a scenario-based modeling approach, the objective of this formulation is to maximize the expected profit associated with the OT schedule. Since the complexity of the problem is NP-hard, we develop a two-step, heuristic solution approach that allows us to solve practical-sized instances in reasonable time. Experimentat",no
doi:10.1287/msom.2015.0560,2016,Accurate Emergency Department Wait Time Prediction,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0560,Erjie Ang; Sara Kwasnick; Mohsen Bayati; Erica L. Plambeck; Michael Aratow,"[{""author"": ""Erjie Ang"", ""affiliations"": [""Graduate School of Business, Stanford University, Stanford, California 94305""]}, {""author"": ""Sara Kwasnick"", ""affiliations"": [""Graduate School of Business, Stanford University, Stanford, California 94305""]}, {""author"": ""Mohsen Bayati"", ""affiliations"": [""Graduate School of Business, Stanford University, Stanford, California 94305""]}, {""author"": ""Erica L. Plambeck"", ""affiliations"": [""Graduate School of Business, Stanford University, Stanford, California 94305""]}, {""author"": ""Michael Aratow"", ""affiliations"": [""San Mateo Medical Center, San Mateo, California 94403""]}]",,1,,132,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0560,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"This paper proposes the Q-Lasso method for wait time prediction, which combines statistical learning with fluid model estimators. In historical data from four remarkably different hospitals, Q-Lasso predicts the emergency department (ED) wait time for low-acuity patients with greater accuracy than rolling average methods (currently used by hospitals), fluid model estimators (from the service operations management literature), and quantile regression methods (from the emergency medicine literature). Q-Lasso achieves greater accuracy largely by correcting errors of underestimation in which a patient waits for longer than predicted. Implemented on the external website and in the triage room of ",yes
doi:10.1287/msom.2016.0580,2016,Acknowledgment to Guest Editors and Reviewers (2015),Manufacturing & Service Operations Management,,published,10.1287/msom.2016.0580,,[],,1,,0,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2016.0580,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"The continued success of Manufacturing &amp; Service Operations Management(M&amp;SOM) relies on the support of authors and reviewers. On behalf of M&amp;SOM, I would like to express my sincere appreciation to the guest editors, associate editors, guest associate editors, and reviewers who provided expert counsel and guidance on a voluntary basis. The following list acknowledges those who served from January to December 2015. Through their efforts, the journal was able to provide submitting authors with timely, thoughtful, and constructive reviews. I hereby acknowledge their service for the journal, and gratefully appreciate their contributions for our profession. Christopher S. Tang, M&amp;S",no
doi:10.1287/msom.2015.0572,2016,Allocating Emissions Among Co-Products: Implications for Procurement and Climate Policy,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0572,Nur Sunar; Erica Plambeck,"[{""author"": ""Nur Sunar"", ""affiliations"": [""Kenan-Flagler Business School, The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599""]}, {""author"": ""Erica Plambeck"", ""affiliations"": [""Graduate School of Business, Stanford University, Stanford, California 94305""]}]",,1,,127,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0572,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_non_om_strong | auto_broad_msom,"Co-production (simultaneous production of multiple outputs) occurs in some emission-intensive basic material and agricultural industries. This paper is motivated by ones in which a supplier sells its primary product to a buyer that incurs an emissions cost (voluntarily, or due to government-imposed climate policy) and sells co-products into markets without emissions costs. Emission-accounting standards provide three candidate rules for allocating the supplier’s emissions among its products. This paper shows that under the value-based allocation, imposing an emissions tax on the primary product can increase emissions, by motivating the supplier to lower the price and sell a larger quantity. I",yes
doi:10.1287/msom.2015.0561,2016,Analytics for an Online Retailer: Demand Forecasting and Price Optimization,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0561,Kris Johnson Ferreira; Bin Hong Alex Lee; David Simchi-Levi,"[{""author"": ""Kris Johnson Ferreira"", ""affiliations"": [""Technology and Operations Management Unit, Harvard Business School, Boston, Massachusetts 02163""]}, {""author"": ""Bin Hong Alex Lee"", ""affiliations"": [""Engineering Systems Division, Massachusetts Institute of Technology, Cambridge, Massachusetts 02193""]}, {""author"": ""David Simchi-Levi"", ""affiliations"": [""Engineering Systems Division, Department of Civil and Environmental Engineering, Institute for Data, Systems, and Society, and the Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02193""]}]",,1,,536,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0561,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"We present our work with an online retailer, Rue La La, as an example of how a retailer can use its wealth of data to optimize pricing decisions on a daily basis. Rue La La is in the online fashion sample sales industry, where they offer extremely limited-time discounts on designer apparel and accessories. One of the retailer’s main challenges is pricing and predicting demand for products that it has never sold before, which account for the majority of sales and revenue. To tackle this challenge, we use machine learning techniques to estimate historical lost sales and predict future demand of new products. The nonparametric structure of our demand prediction model, along with the dependence ",yes
doi:10.1287/msom.2016.0588,2016,Capacitated Multiechelon Inventory Systems: Policies and Bounds,Manufacturing & Service Operations Management,,published,10.1287/msom.2016.0588,Woonghee Tim Huh; Ganesh Janakiraman; Mahesh Nagarajan,"[{""author"": ""Woonghee Tim Huh"", ""affiliations"": [""Operations and Logistics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada V6T 1Z2""]}, {""author"": ""Ganesh Janakiraman"", ""affiliations"": [""Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, Texas, 75080""]}, {""author"": ""Mahesh Nagarajan"", ""affiliations"": [""Operations and Logistics Division, Sauder School of Business, University of British Columbia, Vancouver, Canada V6T 1Z2""]}]",,1,,18,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2016.0588,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"We study a periodically reviewed multiechelon serial inventory system with a capacity constraint on the order quantity at each stage. The cost criterion we use to evaluate inventory policies for this system is the sum of the expected long-run average holding and shortage costs. It is well known that for this problem, characterizing the structure of the optimal policy and computing it are very difficult. We consider the use of echelon base-stock policies for our system (even though they are known to be suboptimal) and propose algorithms for finding base-stock levels that are easy to understand and implement. We derive bounds on the ratios between the costs achieved by our algorithms and the o",yes
doi:10.1287/msom.2015.0558,2016,Coil Batching to Improve Productivity and Energy Utilization in Steel Production,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0558,Lixin Tang; Ying Meng; Zhi-Long Chen; Jiyin Liu,"[{""author"": ""Lixin Tang"", ""affiliations"": [""Liaoning Key Laboratory of Manufacturing System and Logistics, Institute of Industrial Engineering and Logistics Optimization, Northeastern University, Shenyang 110819, China""]}, {""author"": ""Ying Meng"", ""affiliations"": [""Liaoning Key Laboratory of Manufacturing System and Logistics, Institute of Industrial Engineering and Logistics Optimization, Northeastern University, Shenyang 110819, China""]}, {""author"": ""Zhi-Long Chen"", ""affiliations"": [""Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20742""]}, {""author"": ""Jiyin Liu"", ""affiliations"": [""School of Business and Economics, Loughborough University, Leicestershire LE11 3TU, United Kingdom""]}]",,1,,35,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0558,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"This paper investigates a practical batching decision problem that arises in the batch annealing operations in the cold rolling stage of steel production faced by most large iron and steel companies in the world. The problem is to select steel coils from a set of waiting coils to form batches to be annealed in available batch annealing furnaces and choose a median coil for each furnace. The objective is to maximize the total reward of the selected coils less the total coil–coil and coil–furnace mismatching cost. For a special case of the problem that arises frequently in practical settings where the coils are all similar and there is only one type of furnace available, we develop a polynomia",yes
doi:10.1287/msom.2015.0574,2016,Contracting for On-Time Delivery in the U.S. Influenza Vaccine Supply Chain,Manufacturing & Service Operations Management,,published,10.1287/msom.2015.0574,Tinglong Dai; Soo-Haeng Cho; Fuqiang Zhang,"[{""author"": ""Tinglong Dai"", ""affiliations"": [""Carey Business School, The Johns Hopkins University, Baltimore, Maryland 21202""]}, {""author"": ""Soo-Haeng Cho"", ""affiliations"": [""Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213""]}, {""author"": ""Fuqiang Zhang"", ""affiliations"": [""Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130""]}]",,1,,106,OpenAlex,https://api.openalex.org/works/https%3A%2F%2Fdoi.org%2F10.1287%2Fmsom.2015.0574,2026-02-19,,,,source=crossref,Operations Management,OM_OR,0.99,journal=MSOM | auto_broad_msom,"Although influenza vaccine shortage is often attributed to low supply, it has been observed that even with abundant supply, a major shortage can still occur because of late delivery. In this paper, motivated by the influenza vaccine industry, we study a supply chain contracting problem in the presence of uncertainties surrounding design, delivery, and demand of the influenza vaccine. In this supply chain, a manufacturer has insufficient incentive to initiate at-risk early production prior to the design freeze because it is a retailer who reaps the most benefits from selling more vaccines delivered on time. Anticipating that late delivery will lead to potential loss in demand, the retailer te",yes
