paper_key,year,title,journal,status,published_or_forthcoming,doi,authors,author_affiliations_at_publication,school_credit_map,keep_om,exclude_reason,citation_count,citation_source,citation_url,citation_last_checked_date,google_scholar_citations,google_scholar_url,citations_last_checked_date,notes,ms_department,discipline_bucket,dept_confidence,dept_signals,abstract_excerpt,business_school_affiliation
doi:10.1287/opre.2015.1471,2016,A Cycle-Based Formulation and Valid Inequalities for DC Power Transmission Problems with Switching,Operations Research,,published,10.1287/opre.2015.1471,Burak Kocuk; Hyemin Jeon; Santanu S. Dey; Jeff Linderoth; James Luedtke; Xu Andy Sun,"[{""author"": ""Burak Kocuk"", ""affiliations"": [""H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332""]}, {""author"": ""Hyemin Jeon"", ""affiliations"": [""Department of Industrial Engineering and Operations Research, University of California, Berkeley, Berkeley, California 94720""]}, {""author"": ""Santanu S. Dey"", ""affiliations"": [""H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332""]}, {""author"": ""Jeff Linderoth"", ""affiliations"": [""Department of Industrial and Systems Engineering, University of Wisconsin-Madison, Madison, Wisconsin 53706""]}, {""author"": ""James Luedtke"", ""affiliations"": [""Department of Industrial and Systems Engineering, University of Wisconsin-Madison, Madison, Wisconsin 53706""]}, {""author"": ""Xu Andy Sun"", ""affiliations"": [""H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, Georgia 30332""]}]",,1,,,,,,,,,source=crossref,Operations Research,OM_OR,0.88,journal=OR | auto_broad_or,"It is well known that optimizing network topology by switching on and off transmission lines improves the efficiency of power delivery in electrical networks. In fact, the USA Energy Policy Act of 2005 (Section 1223) states that the United States should “encourage, as appropriate, the deployment of advanced transmission technologies” including “optimized transmission line configurations.” As such, many authors have studied the problem of determining an optimal set of transmission lines to switch off to minimize the cost of meeting a given power demand under the direct current (DC) model of power flow. This problem is known in the literature as the Direct-Current Optimal Transmission Switchin",no
doi:10.1287/opre.2016.1505,2016,A Markov Chain Approximation to Choice Modeling,Operations Research,,published,10.1287/opre.2016.1505,Jose Blanchet; Guillermo Gallego; Vineet Goyal,"[{""author"": ""Jose Blanchet"", ""affiliations"": [""Industrial Engineering and Operations Research, Columbia University, New York, New York""]}, {""author"": ""Guillermo Gallego"", ""affiliations"": [""Industrial Engineering and Logistics Management, Hong Kong University of Science and Technology, Kowloon, Hong Kong""]}, {""author"": ""Vineet Goyal"", ""affiliations"": [""Industrial Engineering and Operations Research, Columbia University, New York, New York""]}]",,1,,,,,,,,,source=crossref,Optimization/Stochastic Models,OM_OR,0.92,kw=or_math | auto_broad_or,"Assortment planning is an important problem that arises in many industries such as retailing and airlines. One of the key challenges in an assortment planning problem is to identify the “right” model for the substitution behavior of customers from the data. Error in model selection can lead to highly suboptimal decisions. In this paper, we consider a Markov chain based choice model and show that it provides a simultaneous approximation for all random utility based discrete choice models including the multinomial logit (MNL), the probit, the nested logit and mixtures of multinomial logit models. In the Markov chain model, substitution from one product to another is modeled as a state transiti",no
doi:10.1287/opre.2016.1497,2016,An Optimization View of Financial Systemic Risk Modeling: Network Effect and Market Liquidity Effect,Operations Research,,published,10.1287/opre.2016.1497,Nan Chen; Xin Liu; David D. Yao,"[{""author"": ""Nan Chen"", ""affiliations"": [""Department of Systems Engineering and Engineering Management, The Chinese University of Hong Kong, Hong Kong""]}, {""author"": ""Xin Liu"", ""affiliations"": [""Business College, Yangzhou University, Yangzhou, Jiangsu Province, China""]}, {""author"": ""David D. Yao"", ""affiliations"": [""Department of Industrial Engineering and Operations Research, Columbia University, New York, New York 10027""]}]",,1,,,,,,,,,source=crossref,Optimization/Stochastic Models,OM_OR,0.92,kw=or_math | auto_broad_or,"Financial institutions are interconnected directly by holding debt claims against each other (the network channel), and they are also bound by the market when selling assets to raise cash in distressful circumstances (the liquidity channel). The goal of our study is to investigate how these two channels of risk interact to propagate individual defaults to a systemwide catastrophe. We formulate a constrained optimization problem that incorporates both channels of risk, and exploit the problem structure to generate the solution (to the clearing payment vector) via a partition algorithm. Through sensitivity analysis, we are able to identify two key contributors to financial systemic risk, the n",no
doi:10.1287/opre.2016.1521,2016,Augmented Lagrangian Methods for Solving Optimization Problems with Stochastic-Order Constraints,Operations Research,,published,10.1287/opre.2016.1521,Darinka Dentcheva; Gabriela Martinez; Eli Wolfhagen,"[{""author"": ""Darinka Dentcheva"", ""affiliations"": [""Stevens Institute of Technology, Department of Mathematical Sciences, Hoboken, New Jersey 07030""]}, {""author"": ""Gabriela Martinez"", ""affiliations"": [""Kern Center for Science of Health Care Delivery, Mayo Clinic, Rochester, Minnesota 55905""]}, {""author"": ""Eli Wolfhagen"", ""affiliations"": [""Stevens Institute of Technology, Department of Mathematical Sciences, Hoboken, New Jersey 07030""]}]",,1,,,,,,,,,source=crossref,Optimization/Stochastic Models,OM_OR,0.92,kw=or_math | auto_broad_or,"We investigate risk-averse stochastic optimization problems with a risk-shaping constraint in the form of a stochastic-order relation. Both univariate and multivariate orders are considered. We extend the notion of a linear multivariate order, adding flexibility with respect to the controlled portion of the distributions. We propose several methods for the numerical solution of these problems based on augmented Lagrangian framework and analyze their convergence. The methods construct finite-dimensional risk-neutral approximations of the optimization problem whose solutions converge to the solution of the original problem. In the case of univariate stochastic dominance, we explore augmented L",no
doi:10.1287/opre.2016.1480,2016,Bayesian Optimization via Simulation with Pairwise Sampling and Correlated Prior Beliefs,Operations Research,,published,10.1287/opre.2016.1480,Jing Xie; Peter I. Frazier; Stephen E. Chick,"[{""author"": ""Jing Xie"", ""affiliations"": [""Credibly, New York, New York 10010""]}, {""author"": ""Peter I. Frazier"", ""affiliations"": [""School of Operations Research and Information Engineering, Cornell University, Ithaca, New York 14853""]}, {""author"": ""Stephen E. Chick"", ""affiliations"": [""Technology and Operations Management Area, INSEAD, 77300 Fontainebleau, France""]}]",,1,,,,,,,,,source=crossref,Optimization/Stochastic Models,OM_OR,0.92,kw=or_math | auto_broad_or,"This paper addresses discrete optimization via simulation. We show that allowing for both a correlated prior distribution on the means (e.g., with discrete Kriging models) and sampling correlation (e.g., with common random numbers, or CRN) can significantly improve the ability to quickly identify the best alternative. These two correlations are brought together for the first time in a highly sequential knowledge-gradient sampling algorithm, which chooses points to sample using a Bayesian value of information (VOI) criterion. We provide almost sure convergence guarantees as the number of samples grows without bound when parameters are known and provide approximations that allow practical impl",yes
doi:10.1287/opre.2016.1507,2016,Combining Spot and Futures Markets: A Hybrid Market Approach to Dynamic Spectrum Access,Operations Research,,published,10.1287/opre.2016.1507,Lin Gao; Biying Shou; Ying-Ju Chen; Jianwei Huang,"[{""author"": ""Lin Gao"", ""affiliations"": [""School of Electronic and Information Engineering, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China; and Department of Management Sciences, City University of Hong Kong, Kowloon Tong, Hong Kong""]}, {""author"": ""Biying Shou"", ""affiliations"": [""Department of Management Sciences, City University of Hong Kong, Kowloon Tong, Hong Kong""]}, {""author"": ""Ying-Ju Chen"", ""affiliations"": [""School of Business and Management and School of Engineering, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong""]}, {""author"": ""Jianwei Huang"", ""affiliations"": [""Department of Information Engineering, The Chinese University of Hong Kong, Shatin, NT, Hong Kong""]}]",,1,,,,,,,,,source=crossref,Operations Research,OM_OR,0.88,journal=OR | auto_default_or,"Dynamic spectrum access is a new paradigm of secondary spectrum utilization and sharing. It allows unlicensed secondary users (SUs) to exploit the opportunistically underutilized licensed spectrum. Market mechanism is a widely used promising means to regulate the consuming behaviours of users and, hence, achieve the efficient allocation and consumption of limited resources. In this paper, we propose and study a hybrid secondary spectrum market consisting of both the futures market and the spot market, in which SUs (buyers) purchase underutilized licensed spectrum from a spectrum regulator (SR), either through predefined contracts via the futures market, or through spot transactions via the s",yes
doi:10.1287/opre.2016.1478,2016,Compensating for Dynamic Supply Disruptions: Backup Flexibility Design,Operations Research,,published,10.1287/opre.2016.1478,Soroush Saghafian; Mark P. Van Oyen,"[{""author"": ""Soroush Saghafian"", ""affiliations"": [""Harvard Kennedy School, Harvard University, Cambridge, Massachusetts""]}, {""author"": ""Mark P. Van Oyen"", ""affiliations"": [""Department of Industrial & Operations. Engineering, University of Michigan, Ann Arbor, Michigan""]}]",,1,,,,,,,,,source=crossref,Optimization/Stochastic Models,OM_OR,0.92,kw=or_math | auto_broad_or,"To increase resilience in supply chains, we investigate the optimal design of flexibility in a backup system. We model the dynamics of disruptions as Markov chains, and consider a multiproduct, multisupplier supply chain under dynamic disruption risks. Using our model, we first show that a little flexibility in the backup system can go a long way in mitigating dynamic disruption risks. This raises an important and fundamental question in designing flexibility in the backup system: to achieve the benefits of full backup flexibility, which unreliable suppliers should be backed up? To answer this question, we connect the supply chain to various queueing and dam models by analyzing the dynamics ",no
doi:10.1287/opre.2016.1509,2016,Competitive Equilibria in Two-Sided Matching Markets with General Utility Functions,Operations Research,,published,10.1287/opre.2016.1509,Saeed Alaei; Kamal Jain; Azarakhsh Malekian,"[{""author"": ""Saeed Alaei"", ""affiliations"": [""Google Inc, 1600 Amphitheatre Parkway, Mountain View, California 94043""]}, {""author"": ""Kamal Jain"", ""affiliations"": [""Faira, Kirkland, Washington 98033""]}, {""author"": ""Azarakhsh Malekian"", ""affiliations"": [""Rotman School of Management, University of Toronto, Toronto, Ontario""]}]",,1,,,,,,,,,source=crossref,Operations Research,OM_OR,0.88,journal=OR | auto_broad_or,"We present an exact characterization of utilities in competitive equilibria of two-sided matching markets in which the utility of each agent depends on the choice of partner and the terms of the partnership, potentially including monetary transfer. Examples of such markets include sellers and buyers or jobs and workers. Demange and Gale showed that the set of competitive equilibria in this type of market forms a complete lattice with each extreme point of the lattice representing an equilibrium with the highest utilities for the agents on one side and the lowest utilities for the agents on the opposite side. Our characterization is based on establishing a connection between the competitive e",yes
doi:10.1287/opre.2015.1430,2016,Competitive Targeted Advertising Over Networks,Operations Research,,published,10.1287/opre.2015.1430,Kostas Bimpikis; Asuman Ozdaglar; Ercan Yildiz,"[{""author"": ""Kostas Bimpikis"", ""affiliations"": [""Graduate School of Business, Stanford University, Stanford, California 94305""]}, {""author"": ""Asuman Ozdaglar"", ""affiliations"": [""Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139""]}, {""author"": ""Ercan Yildiz"", ""affiliations"": [""Customer Research and Insights Team, Google, Menlo Park, California 94043""]}]",,1,,,,,,,,,source=crossref,Operations Research,OM_OR,0.88,journal=OR | auto_broad_or,"Recent advances in information technology have allowed firms to gather vast amounts of data regarding consumers’ preferences and the structure and intensity of their social interactions. This paper examines a game-theoretic model of competition between firms that can target their marketing budgets to individuals embedded in a social network. We provide a sharp characterization of the optimal targeted advertising strategies and highlight their dependence on the underlying social network structure. Furthermore, we provide conditions under which it is optimal for the firms to asymmetrically target a subset of the individuals and establish a lower bound on the ratio of their payoffs in these asy",yes
doi:10.1287/opre.2015.1452,2016,Contingent Preannounced Pricing Policies with Strategic Consumers,Operations Research,,published,10.1287/opre.2015.1452,José Correa; Ricardo Montoya; Charles Thraves,"[{""author"": ""Jos\u00e9 Correa"", ""affiliations"": [""Departamento de Ingenier\u00eda Industrial, Universidad de Chile, Santiago, Chile""]}, {""author"": ""Ricardo Montoya"", ""affiliations"": [""Departamento de Ingenier\u00eda Industrial, Universidad de Chile, Santiago, Chile""]}, {""author"": ""Charles Thraves"", ""affiliations"": [""Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139""]}]",,1,,,,,,,,,source=crossref,Operations Research,OM_OR,0.88,journal=OR | auto_broad_or,"Companies in diverse industries must decide the pricing policy of their inventories over time. This decision becomes particularly complex when customers are forward looking and may defer a purchase in the hope of future discounts and promotions. With such uncertainty, many customers may end up not buying or buying at a significantly lower price, reducing the firm’s profitability. Recent studies show that a way to mitigate this negative effect caused by strategic consumers is to use a posted or preannounced pricing policy. With that policy, firms commit to a price path that consumers use to evaluate their purchase timing decision. In this paper, we propose a class of preannounced pricing poli",no
