school,std_papers_5yr,personal_credits_5yr,std_citations_5yr,top_author_1,top_author_1_count,top_author_2,top_author_2_count,top_author_3,top_author_3_count
MIT,161,223,1837,David Simchi-Levi,39,Dimitris Bertsimas,17,Georgia Perakis,15
UT Dallas,91,131,1151,Milind Dawande,14,Ganesh Janakiraman,13,Yining Wang,10
Columbia,78,99,882,Will Ma,15,Santiago R. Balseiro,10,Omar Besbes,10
Wharton (UPenn),0,0,0,,,,,,
Toronto (Rotman),66,76,1545,Ming Hu,21,Ningyuan Chen,9,Azarakhsh Malekian,8
NYU (Stern),63,68,910,Jiawei Zhang,11,Zhengyuan Zhou,10,Ilan Lobel,8
Harvard,33,38,806,Kris Johnson Ferreira,3,Ryan W. Buell,3,Antonio Moreno,3
Duke (Fuqua),65,87,1276,Jing-Sheng Song,12,N. Bora Keskin,10,Ali Makhdoumi,8
Cornell,19,22,516,Andrew M. Davis,5,Ruihao Zhu,5,Yao Cui,3
WashU (Olin),44,54,1787,Panos Kouvelis,10,Dennis J. Zhang,9,Jacob Feldman,7
Chicago (Booth),61,82,426,John R. Birge,8,Rad Niazadeh,8,Ozan Candogan,8
USC (Marshall),42,49,663,Paat Rusmevichientong,11,Vishal Gupta,4,Somya Singhvi,4
Michigan (Ross),62,90,922,Stefanus Jasin,16,Jun Li,10,Izak Duenyas,9
UCLA (Anderson),53,64,1209,Christopher S. Tang,9,Christopher Tang,5,Felipe Caro,4
Northwestern (Kellogg),35,38,711,Achal Bassamboo,7,Itai Gurvich,7,Jan A. Van Mieghem,5
Stanford,37,50,332,Daniela Saban,6,Stefan Wager,5,Gabriel Y. Weintraub,4
Minnesota (Carlson),17,25,298,Anant Mishra,5,Necati Ertekin,2,Karthik V. Natarajan,2
Purdue (Daniels),17,20,106,William B. Haskell,4,Qi Feng,3,J. George Shanthikumar,2
Indiana (Kelley),44,51,1071,Owen Q. Wu,6,Fei Gao,4,Jonathan E. Helm,3
Boston U (Questrom),25,28,506,Jinglong Zhao,4,Pnina Feldman,3,Anita L. Carson,3
UNC (Kenan-Flagler),27,38,494,Vinayak Deshpande,6,Nur Sunar,5,Bradley R. Staats,5
Georgia Tech (Scheller),19,24,379,Karthik Ramachandran,6,L. Beril Toktay,4,Qiuping Yu,3
Yale,19,19,130,Vahideh Manshadi,9,Tauhid Zaman,3,Zhen Lian,1
Carnegie Mellon (Tepper),31,49,510,Alan Scheller-Wolf,7,Soo-Haeng Cho,6,Zhaohui (Zoey) Jiang,4
Arizona State (Carey),24,37,291,Scott Webster,7,Mahyar Eftekhar,5,Heng Zhang,4
UC Berkeley (Haas),21,21,580,Luyi Yang,6,Yiangos Papanastasiou,3,Ambar La Forgia,2
Maryland (Smith),34,41,360,Ilya O. Ryzhov,6,Yanzhe (Murray) Lei,4,Michael C. Fu,4
Wisconsin-Madison,23,28,622,Hessam Bavafa,7,Jordan Tong,5,Xiaoyang Long,5
Johns Hopkins (Carey),31,33,362,Ruxian Wang,9,Tinglong Dai,7,Ali Fattahi,4
UW (Foster),25,35,487,Leela Nageswaran,5,Shi Chen,4,Yong-Pin Zhou,3
Colorado (Leeds),24,28,555,Sentao Miao,7,Huanan Zhang,5,David F. Drake,3
Emory (Goizueta),17,25,734,Ruomeng Cui,5,Nikolay Osadchiy,3,Diwas Singh KC,3
UIUC (Gies),19,20,334,Yixin (Iris) Wang,4,Sridhar Seshadri,4,Vanitha Virudachalam,3
McGill (Desautels),35,42,620,Maxime C. Cohen,13,Juan Camilo Serpa,3,Mehmet Gümüş,3
Penn State (Smeal),24,27,293,Saurabh Bansal,4,Suresh Muthulingam,3,Suvrat Dhanorkar,3
UC San Diego (Rady),7,9,105,Marta Serra-Garcia,2,Vish V. Krishnan,2,Hyoduk Shin,1
Florida (Warrington),9,9,247,Yining Wang,4,Xiajun Amy Pan,2,Anuj Kumar,1
Texas A&M (Mays),8,9,169,Esmaeil Keyvanshokooh,2,Andres F. Jola-Sanchez,1,Michael Ketzenberg,1
Iowa (Tippie),4,4,17,Mojtaba Hosseini,2,Qihang Lin,1,Beste Basciftci,1
Ohio State (Fisher),9,9,70,Nil Karacaoglu,2,Nicholas G. Hall,2,Telesilla O. Kotsi,2
Notre Dame (Mendoza),8,11,147,Kaitlin D. Wowak,2,Eojin Han,1,Xuying Zhao,1
UBC (Sauder),36,47,413,Christopher Thomas Ryan,7,Michael Jong Kim,5,Woonghee Tim Huh,5
Virginia (Darden),15,18,261,Douglas J. Thomas,3,Yael Grushka-Cockayne,3,Panos Markou,2
Northeastern,1,1,35,John D. Lowrey,1,,,,
Boston College (Carroll),16,16,178,Nan Liu,5,Dmitry Mitrofanov,3,Lai Wei,2
Virginia Tech (Pamplin),4,4,81,Idris Adjerid,2,Jiayi Liu,1,Mohammad Ebrahim Arbabian,1
SMU (Cox),9,9,288,Vishal Ahuja,3,Yanhan (Savannah) Tang,2,Sreekumar Bhaskaran,2
Dartmouth (Tuck),19,20,277,Lauren Xiaoyuan Lu,5,Brian Tomlin,5,Laurens Debo,3
Michigan State (Broad),6,6,95,Stanley Frederick W. T. Lim,3,Beste Kucukyazici,1,Jason W. Miller,1
