school,author,counted_author_credits_2021_2025,unique_papers_2021_2025,sample_affiliation
MIT,David Simchi-Levi,39,39,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,Dimitris Bertsimas,17,17,"Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,Georgia Perakis,16,16,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,Retsef Levi,9,9,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,Negin Golrezaei,9,9,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,Jónas Oddur Jónasson,8,8,"Operations Management, Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142;"
MIT,Alexandre Jacquillat,7,7,"MIT Sloan School of Management, Cambridge, Massachusetts 02142"
MIT,Nikolaos Trichakis,6,6,"Operations Research Center and Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,Vivek F. Farias,5,5,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
MIT,Daniel Freund,5,5,"Sloan School of Management, MIT, Cambridge, Massachusetts 02139"
MIT,Stephen C. Graves,4,4,"MIT Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
MIT,Omar Skali Lami,4,4,"Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,Patrick Jaillet,4,4,"Department of Electrical Engineering and Computer Science, Laboratory for Information and Decision Systems, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,Thodoris Lykouris,4,4,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
MIT,Li Wang,3,3,"Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,Yanchong Zheng,3,3,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142;"
MIT,Bart P. G. Van Parys,2,2,"Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
