school,journal,year,author,paper_key,tags,affiliation
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3671,engineering,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3926,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
SMU (Cox),MS,2021,Jingxing (Rowena) Gan,doi:10.1287/mnsc.2020.3796,information_systems,"Information Technology and Operations Management Department, Cox School of Business, Southern Methodist University, Dallas, Texas 75205;"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2021.4183,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
Florida (Warrington),MS,2021,Yining Wang,doi:10.1287/mnsc.2020.3819,information_systems,"Department of Information Systems and Operations Management, Warrington College of Business, University of Florida, Gainesville, Florida 32611;"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3819,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2021,Thomas L. Magnanti,doi:10.1287/mnsc.2021.3955,engineering|computer_science,"Department of Electrical Engineering and Computer Science and Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
UW (Foster),MS,2021,Andrew F. Siegel,doi:10.1287/mnsc.2020.3766,information_systems|statistics|economics,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195; ; Finance and Business Economics, Department of Statistics, University of Washington, Seattle, Washington 98195"
UW (Foster),MS,2021,Michael R. Wagner,doi:10.1287/mnsc.2020.3766,information_systems,"Information Systems and Operations Management, Michael G. Foster School of Business, University of Washington, Seattle, Washington 98195"
MIT,MS,2021,David Simchi-Levi,doi:10.1287/mnsc.2020.3773,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
