rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted,or_std_papers,or_personal_papers,or_std_citations,or_personal_citation_weighted,msom_std_papers,msom_personal_papers,msom_std_citations,msom_personal_citation_weighted
MIT,2016,3.0000,5.0000,636.0000,1261.0000,10.0000,12.0000,0.0000,0.0000,3.0000,4.0000,627.0000,675.0000
MIT,2017,2.0000,3.0000,184.0000,252.0000,5.0000,5.0000,0.0000,0.0000,2.0000,2.0000,125.0000,125.0000
MIT,2018,4.0000,4.0000,71.0000,71.0000,6.0000,10.0000,0.0000,0.0000,1.0000,1.0000,212.0000,212.0000
MIT,2019,8.0000,13.0000,386.0000,658.0000,10.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MIT,2020,6.0000,9.0000,837.0000,1097.0000,5.0000,8.0000,0.0000,0.0000,5.0000,6.0000,520.0000,633.0000
MIT,2021,16.0000,20.0000,459.0000,619.0000,6.0000,8.0000,0.0000,0.0000,5.0000,5.0000,58.0000,58.0000
MIT,2022,12.0000,15.0000,446.0000,600.0000,16.0000,21.0000,0.0000,0.0000,10.0000,15.0000,302.0000,411.0000
MIT,2023,15.0000,17.0000,286.0000,313.0000,8.0000,12.0000,0.0000,0.0000,7.0000,17.0000,102.0000,278.0000
MIT,2024,11.0000,13.0000,72.0000,80.0000,6.0000,9.0000,0.0000,0.0000,5.0000,5.0000,24.0000,24.0000
MIT,2025,21.0000,31.0000,49.0000,51.0000,12.0000,16.0000,0.0000,0.0000,12.0000,20.0000,42.0000,64.0000
MIT,2026,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UT Dallas,2016,2.0000,4.0000,86.0000,236.0000,3.0000,4.0000,0.0000,0.0000,1.0000,1.0000,18.0000,18.0000
UT Dallas,2017,2.0000,2.0000,44.0000,44.0000,4.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UT Dallas,2018,4.0000,9.0000,193.0000,364.0000,3.0000,4.0000,0.0000,0.0000,4.0000,6.0000,91.0000,155.0000
UT Dallas,2019,4.0000,4.0000,149.0000,149.0000,1.0000,1.0000,0.0000,0.0000,3.0000,4.0000,240.0000,247.0000
UT Dallas,2020,4.0000,6.0000,145.0000,211.0000,0.0000,0.0000,0.0000,0.0000,4.0000,7.0000,342.0000,588.0000
UT Dallas,2021,4.0000,5.0000,54.0000,61.0000,3.0000,5.0000,0.0000,0.0000,3.0000,5.0000,58.0000,122.0000
UT Dallas,2022,6.0000,10.0000,120.0000,236.0000,4.0000,8.0000,0.0000,0.0000,9.0000,10.0000,433.0000,460.0000
UT Dallas,2023,4.0000,6.0000,179.0000,221.0000,3.0000,3.0000,0.0000,0.0000,5.0000,8.0000,63.0000,90.0000
UT Dallas,2024,5.0000,6.0000,111.0000,115.0000,11.0000,17.0000,0.0000,0.0000,10.0000,14.0000,114.0000,130.0000
UT Dallas,2025,7.0000,9.0000,4.0000,6.0000,7.0000,12.0000,0.0000,0.0000,10.0000,13.0000,15.0000,15.0000
UT Dallas,2026,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000
Columbia,2016,2.0000,2.0000,105.0000,105.0000,5.0000,7.0000,0.0000,0.0000,1.0000,1.0000,85.0000,85.0000
Columbia,2017,3.0000,3.0000,288.0000,288.0000,4.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Columbia,2018,3.0000,5.0000,105.0000,215.0000,6.0000,7.0000,0.0000,0.0000,1.0000,3.0000,43.0000,129.0000
Columbia,2019,4.0000,5.0000,228.0000,281.0000,7.0000,10.0000,0.0000,0.0000,2.0000,2.0000,104.0000,104.0000
Columbia,2020,6.0000,9.0000,244.0000,353.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Columbia,2021,6.0000,6.0000,390.0000,390.0000,8.0000,9.0000,0.0000,0.0000,2.0000,3.0000,70.0000,128.0000
Columbia,2022,3.0000,5.0000,55.0000,123.0000,8.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Columbia,2023,6.0000,6.0000,133.0000,133.0000,7.0000,8.0000,0.0000,0.0000,3.0000,3.0000,107.0000,107.0000
Columbia,2024,6.0000,6.0000,80.0000,80.0000,6.0000,9.0000,0.0000,0.0000,2.0000,2.0000,11.0000,11.0000
Columbia,2025,6.0000,7.0000,17.0000,29.0000,13.0000,23.0000,0.0000,0.0000,5.0000,6.0000,19.0000,23.0000
Columbia,2026,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UPenn (Wharton),2016,2.0000,2.0000,637.0000,637.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UPenn (Wharton),2017,4.0000,5.0000,525.0000,620.0000,0.0000,0.0000,0.0000,0.0000,3.0000,4.0000,1232.0000,1670.0000
