school,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024,2021-2025,2022-2026
UCLA (Anderson),1.225,1.125,1.525,1.45,1.425,1.6,1.6
MIT (Sloan),0.7866666666666666,0.88,1.0666666666666667,1.2533333333333334,1.32,1.64,1.4
USC (Marshall),0.925,1.275,1.375,1.325,1.35,1.225,0.825
WashU (Olin),0.8285714285714286,0.9714285714285714,1.4,1.3142857142857143,1.2,1.3714285714285714,1.2
UPenn (Wharton),0.8142857142857143,1.0,1.1571428571428573,1.2142857142857142,1.2857142857142858,1.3,1.1285714285714286
Stanford,1.1,1.12,1.22,1.1,1.1,0.98,0.68
Duke (Fuqua),0.7,0.7375,0.8875,1.0375,1.0625,1.0875,1.0625
Columbia,0.6888888888888889,0.7777777777777778,0.8333333333333334,0.8555555555555555,0.8555555555555555,1.1333333333333333,0.9777777777777777
Northwestern (Kellogg),0.7777777777777778,0.7777777777777778,0.9111111111111111,0.9555555555555556,0.7777777777777778,0.8222222222222222,0.7111111111111111
Chicago (Booth),0.5733333333333334,0.68,0.6666666666666666,0.7466666666666667,0.8533333333333334,1.0933333333333333,0.96
NYU (Stern),0.6461538461538462,0.6615384615384615,0.6,0.676923076923077,0.8615384615384616,1.0461538461538462,0.9692307692307692
Carnegie Mellon (Tepper),0.68,0.66,0.64,0.68,0.74,1.04,0.92
UT Dallas,0.48333333333333334,0.5333333333333333,0.7,0.6666666666666666,0.9,1.075,0.9833333333333333
Michigan (Ross),0.46,0.54,0.84,0.77,0.78,0.9,0.75
UW (Foster),0.475,0.55,0.7,0.775,0.775,0.875,0.75
Toronto (Rotman),0.425,0.5,0.6375,0.7,0.8,0.95,0.8375
McGill (Desautels),0.35555555555555557,0.4444444444444444,0.5777777777777777,0.7555555555555555,0.8666666666666667,0.9333333333333333,0.8666666666666667
UNC (Kenan-Flagler),0.65,0.7666666666666667,0.7,0.7166666666666667,0.6666666666666666,0.5833333333333334,0.5
Purdue (Daniels),0.56,0.52,0.68,0.6,0.66,0.74,0.76
Harvard,0.4888888888888889,0.4888888888888889,0.6222222222222222,0.6,0.6444444444444445,0.8222222222222222,0.6666666666666666
UBC (Sauder),0.3142857142857143,0.5,0.6714285714285714,0.6714285714285714,0.5857142857142857,0.6714285714285714,0.5428571428571428
Minnesota (Carlson),0.425,0.475,0.6,0.575,0.575,0.6,0.55
Wisconsin-Madison,0.3111111111111111,0.5111111111111111,0.5777777777777777,0.6,0.6444444444444445,0.6222222222222222,0.4222222222222222
Johns Hopkins (Carey),0.26666666666666666,0.3111111111111111,0.4888888888888889,0.5777777777777777,0.6222222222222222,0.7333333333333333,0.6666666666666666
Emory (Goizueta),0.325,0.425,0.475,0.55,0.625,0.65,0.55
